L J E r2
4 0 0.000175176 3.88
4 0.3 -0.560852 3.86373
4 0.6 -1.19625 3.79321
4 0.9 -1.83651 3.65301
4 1.2 -2.38284 3.46012
4 1.5 -2.81199 3.20856
4 0 -0.00182379 3.88
4 0.3 -0.557919 3.86264
4 0.6 -1.20032 3.79497
4 0.9 -1.83551 3.66167
4 1.2 -2.37561 3.4648
4 1.5 -2.81028 3.21614
4 0 1.75757e-05 3.88
4 0.3 -0.56079 3.86333
4 0.6 -1.19618 3.79708
4 0.9 -1.82992 3.66457
4 1.2 -2.38483 3.45354
4 1.5 -2.81919 3.20432
4 0 0.000740934 3.88
4 0.3 -0.560034 3.86318
4 0.6 -1.19806 3.79757
4 0.9 -1.83248 3.65954
4 1.2 -2.38464 3.46056
4 1.5 -2.81494 3.20667
4 0 -0.000121619 3.88
4 0.3 -0.560218 3.86331
4 0.6 -1.19406 3.79792
4 0.9 -1.83211 3.66165
4 1.2 -2.37676 3.46426
4 1.5 -2.81307 3.21035
4 0 -0.000466196 3.88
4 0.3 -0.559797 3.86382
4 0.6 -1.20048 3.79582
4 0.9 -1.83039 3.66381
4 1.2 -2.38232 3.45575
4 1.5 -2.81171 3.21482
4 0 -0.001229 3.88
4 0.3 -0.560899 3.86423
4 0.6 -1.19596 3.79671
4 0.9 -1.82934 3.66204
4 1.2 -2.38052 3.45833
4 1.5 -2.80823 3.21734
4 0 0.000435478 3.88
4 0.3 -0.560267 3.86392
4 0.6 -1.19582 3.79815
4 0.9 -1.82903 3.65927
4 1.2 -2.38345 3.45246
4 1.5 -2.81638 3.20969
4 0 0.00178219 3.88
4 0.3 -0.557998 3.86364
4 0.6 -1.19722 3.79373
4 0.9 -1.83226 3.6634
4 1.2 -2.38216 3.46029
4 1.5 -2.80679 3.22479
4 0 -0.000995051 3.88
4 0.3 -0.56065 3.86418
4 0.6 -1.19811 3.79388
4 0.9 -1.83446 3.65484
4 1.2 -2.38332 3.46475
4 1.5 -2.82062 3.20237
