L J E r2
6 0 -1.58915e-06 7.2343
6 0.3 -1.05366 7.16303
6 0.6 -2.44178 6.83221
6 0.9 -4.00136 6.10283
6 1.2 -5.37339 5.12183
6 1.5 -6.37989 4.1564
6 0 0.000196798 7.2343
6 0.3 -1.05391 7.16228
6 0.6 -2.44085 6.83299
6 0.9 -4.0061 6.10117
6 1.2 -5.36741 5.12152
6 1.5 -6.37627 4.14863
6 0 0.000263807 7.2343
6 0.3 -1.05328 7.16327
6 0.6 -2.44237 6.83076
6 0.9 -4.0005 6.10881
6 1.2 -5.35893 5.1377
6 1.5 -6.36246 4.16181
6 0 0.00034061 7.2343
6 0.3 -1.05313 7.16245
6 0.6 -2.44435 6.82972
6 0.9 -3.99915 6.10296
6 1.2 -5.36951 5.12403
6 1.5 -6.37609 4.16098
6 0 0.000912444 7.2343
6 0.3 -1.05444 7.16242
6 0.6 -2.43964 6.83273
6 0.9 -4.0023 6.1075
6 1.2 -5.36964 5.11412
6 1.5 -6.37861 4.15359
6 0 -0.000370534 7.2343
6 0.3 -1.05316 7.16403
6 0.6 -2.44186 6.83271
6 0.9 -4.00347 6.10533
6 1.2 -5.35375 5.13808
6 1.5 -6.36454 4.17324
6 0 0.000901163 7.2343
6 0.3 -1.05273 7.1634
6 0.6 -2.442 6.8323
6 0.9 -4.00478 6.1063
6 1.2 -5.36238 5.12819
6 1.5 -6.37704 4.15168
6 0 5.89779e-05 7.2343
6 0.3 -1.05276 7.16278
6 0.6 -2.44127 6.83244
6 0.9 -3.99738 6.10805
6 1.2 -5.38513 5.09786
6 1.5 -6.36585 4.17367
6 0 -0.00033559 7.2343
6 0.3 -1.05262 7.16318
6 0.6 -2.44436 6.82901
6 0.9 -4.00263 6.10167
6 1.2 -5.37032 5.11626
6 1.5 -6.38268 4.14038
6 0 -0.000185822 7.2343
6 0.3 -1.05359 7.16191
6 0.6 -2.44106 6.83116
6 0.9 -3.99918 6.10544
6 1.2 -5.37042 5.11957
6 1.5 -6.39401 4.13153
