L J E r2
7 0 6.59241e-05 9.07054
7 0.3 -1.31359 8.96193
7 0.6 -3.15833 8.42163
7 0.9 -5.35681 7.21713
7 1.2 -7.29893 5.68248
7 1.5 -8.70543 4.39733
7 0 8.64004e-06 9.07054
7 0.3 -1.31341 8.96232
7 0.6 -3.15844 8.42434
7 0.9 -5.35851 7.21491
7 1.2 -7.28554 5.70714
7 1.5 -8.68051 4.42548
7 0 2.5854e-05 9.07054
7 0.3 -1.31355 8.96217
7 0.6 -3.15983 8.42085
7 0.9 -5.35573 7.21818
7 1.2 -7.30304 5.69172
7 1.5 -8.72201 4.382
7 0 0.000115986 9.07054
7 0.3 -1.31444 8.96128
7 0.6 -3.15811 8.42205
7 0.9 -5.356 7.2149
7 1.2 -7.31833 5.67483
7 1.5 -8.68981 4.4201
7 0 5.51467e-06 9.07054
7 0.3 -1.31428 8.96178
7 0.6 -3.15805 8.42447
7 0.9 -5.35135 7.22168
7 1.2 -7.2982 5.69846
7 1.5 -8.72554 4.40232
7 0 -7.57829e-05 9.07054
7 0.3 -1.31413 8.96175
7 0.6 -3.16052 8.42208
7 0.9 -5.35135 7.22331
7 1.2 -7.30646 5.69195
7 1.5 -8.72107 4.3844
7 0 -4.38569e-05 9.07054
7 0.3 -1.31404 8.96167
7 0.6 -3.15819 8.42366
7 0.9 -5.3547 7.22104
7 1.2 -7.2911 5.69556
7 1.5 -8.71103 4.40462
7 0 5.49244e-06 9.07054
7 0.3 -1.31382 8.96144
7 0.6 -3.15825 8.42193
7 0.9 -5.36164 7.21315
7 1.2 -7.30431 5.6954
7 1.5 -8.71309 4.40224
7 0 0.000158482 9.07054
7 0.3 -1.31382 8.96168
7 0.6 -3.1592 8.42192
7 0.9 -5.34642 7.22529
7 1.2 -7.30373 5.69085
7 1.5 -8.67367 4.42724
7 0 0.000312891 9.07054
7 0.3 -1.3138 8.9617
7 0.6 -3.15811 8.42316
7 0.9 -5.35619 7.21452
7 1.2 -7.29497 5.69755
7 1.5 -8.67008 4.43041
