L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
300 0.22 18000000 1165 0 -45.9513 0 2111.52 0 4.45852e+06 0 -0.0197414 0 0.0183802 0 0.000727555 0 5.29336e-07 0 0.0269732 0 2.70752 0 13.3174 0 139.74 0 155.765 0 155.765 0 0.718658 0 
300 0.22 18900000 1361 138.593 -50.0997 2.93339 2527.19 293.924 6.55948e+06 1.4856e+06 -0.0282477 0.0060149 -0.0129083 0.0221244 0.00201589 0.000910992 5.72364e-06 3.67292e-06 0.0422278 0.0107866 3.8255 0.79053 19.5725 4.42303 172.955 23.4869 196.353 28.7005 196.353 28.7005 0.686415 0.0227993 
300 0.22 19800000 1487 138.278 -47.4088 2.94139 2273.55 285.108 5.41288e+06 1.36285e+06 0.0028516 0.0257072 -0.00741448 0.0154166 0.0027587 0.000858304 9.82046e-06 4.14548e-06 0.049868 0.00951979 4.14908 0.589537 20.5419 3.05309 172.504 15.6623 197.195 19.146 197.195 19.146 0.669874 0.0203326 
300 0.22 20700000 1450.5 108.419 -50.6542 3.57295 2616.91 366.259 7.38479e+06 1.99025e+06 0.0033381 0.019285 -0.0219377 0.0170846 0.00314759 0.000726507 1.20185e-05 3.64558e-06 0.0538217 0.00791843 5.34626 1.12713 20.3773 2.29425 155.681 18.715 181.405 19.8294 181.405 19.8294 0.618392 0.0471212 
300 0.22 21600000 1198.2 241.759 -49.9953 2.91848 2542.11 300.547 6.91399e+06 1.64694e+06 0.00235306 0.0154531 -0.018724 0.0139667 0.00252546 0.000804631 9.61511e-06 3.62312e-06 0.0442733 0.0106333 5.36343 0.901836 20.0427 1.85965 134.912 23.8588 160.318 24.6447 160.318 24.6447 0.554092 0.0687649 
300 0.22 22500000 1210 201.753 -55.6251 5.68573 3288.12 725.599 1.39707e+07 6.58643e+06 0.00383372 0.0129483 -0.0157691 0.0119474 0.00212576 0.000763373 8.01529e-06 3.35392e-06 0.0387746 0.0101841 5.3016 0.753647 20.1801 1.55478 137.753 20.0507 163.235 20.7091 163.235 20.7091 0.564623 0.0581049 
300 0.22 23400000 1379 233.208 -53.8359 5.14729 3083.77 650.08 1.24679e+07 5.81443e+06 -0.00564999 0.0141517 -0.0164219 0.0102584 0.00244014 0.000716136 9.54425e-06 3.2044e-06 0.0426319 0.00943145 5.05137 0.686269 20.0233 1.34056 140.923 17.435 165.997 17.9339 165.997 17.9339 0.579408 0.051651 
300 0.22 24300000 1285.25 222.103 -56.6917 5.2365 3433.32 656.099 1.52314e+07 5.7067e+06 0.00518257 0.0160003 -0.0163591 0.00897633 0.00298714 0.000808985 1.41587e-05 5.14711e-06 0.0476229 0.00948157 5.50616 0.735912 19.1988 1.40382 129.774 18.4792 154.479 19.0348 154.479 19.0348 0.54529 0.0553269 
300 0.22 25200000 1236.33 202.74 -57.3219 4.69243 3483.97 585.151 1.52197e+07 5.07263e+06 -0.0115677 0.0212526 -0.0120914 0.00893605 0.00506376 0.00208574 6.47943e-05 4.79585e-05 0.0586903 0.0134131 6.12256 0.875004 20.8725 2.01177 122.378 17.8447 149.373 17.5913 149.373 17.5913 0.504027 0.0627062 
300 0.22 26100000 1222.8 182.917 -59.2637 4.60747 3724.47 573.935 1.71657e+07 4.92452e+06 -0.0156015 0.0206477 -0.00744654 0.00917052 0.00494485 0.00194301 5.98162e-05 4.34203e-05 0.059046 0.0143897 6.10688 0.787644 22.1334 2.72266 121.96 16.0652 150.2 15.8516 150.2 15.8516 0.494928 0.057206 
300 0.22 27000000 1189.91 169.22 -56.8856 4.76293 3485.51 569.335 1.57144e+07 4.68582e+06 -0.0120717 0.0206477 -0.00190451 0.00987039 0.00480472 0.00194301 5.54314e-05 4.11439e-05 0.0589817 0.0143897 6.17317 0.718824 21.3871 2.72266 120.712 14.6531 148.272 14.5273 148.272 14.5273 0.502453 0.057206 
300 0.22 27900000 1117.5 169.905 -56.696 4.36979 3443.58 523.433 1.5146e+07 4.32967e+06 -0.0138466 0.0172809 0.000967195 0.0106822 0.00458545 0.00165208 5.12058e-05 3.66102e-05 0.0579516 0.012033 6.04382 0.670459 20.6698 2.63301 117.229 13.8398 143.942 13.9469 143.942 13.9469 0.505318 0.0486061 
300 0.22 28800000 1077.46 161.484 -57.8338 4.17916 3571.8 498.626 1.59899e+07 4.07803e+06 -0.00976968 0.0172809 -0.00282447 0.0106822 0.00453028 0.00165208 4.84179e-05 3.51761e-05 0.058278 0.012033 6.35145 0.685839 20.7729 2.63301 116.079 12.8229 143.203 12.8937 143.203 12.8937 0.498619 0.0486061 
300 0.22 29700000 1077.71 149.95 -57.4416 3.89901 3512.37 466.538 1.53839e+07 3.8315e+06 -0.00345456 0.0176626 -0.00415452 0.0103112 0.00468129 0.00141885 4.8113e-05 3.14799e-05 0.0599377 0.0104766 13.2838 6.72189 88.4435 65.2325 243.897 123.743 345.624 195.425 345.624 195.425 0.482644 0.0466521 
300 0.22 30600000 1194.2 179.586 -58.25 3.72195 3600.86 443.749 1.59199e+07 3.61336e+06 -0.00947334 0.0176626 -0.00631707 0.0103112 0.00504424 0.00141885 5.17405e-05 3.02866e-05 0.0626502 0.0104766 13.2962 6.72189 84.0324 62.7868 706.823 461.901 804.151 479.061 804.151 479.061 0.516148 0.0525968 
