L J E r2
11 0 -0.000146643 26.2425
11 0.25 -1.79437 25.9334
11 0.5 -4.29404 24.4451
11 0.75 -7.74047 20.6922
11 1 -11.7016 14.9027
11 1.25 -14.6714 10.5574
11 1.5 -16.2531 8.21234
11 0 7.84998e-05 26.2425
11 0.25 -1.79367 25.934
11 0.5 -4.29165 24.451
11 0.75 -7.74075 20.6665
11 1 -11.4652 15.2266
11 1.25 -14.3157 10.8481
11 1.5 -15.7229 8.46439
11 0 -1.99593e-05 26.2425
11 0.25 -1.79385 25.9332
11 0.5 -4.29614 24.44
11 0.75 -7.77765 20.6153
11 1 -11.5129 15.1706
11 1.25 -14.2565 10.8209
11 1.5 -16.1247 8.24934
11 0 2.7314e-05 26.2425
11 0.25 -1.79449 25.9335
11 0.5 -4.29302 24.4478
11 0.75 -7.74561 20.6686
11 1 -11.5273 15.1438
11 1.25 -14.6323 10.3944
11 1.5 -15.8473 8.33328
11 0 0.000249988 26.2425
11 0.25 -1.79386 25.9338
11 0.5 -4.29201 24.4472
11 0.75 -7.75069 20.6643
11 1 -11.4479 15.3128
11 1.25 -14.4616 11.0857
11 1.5 -16.0557 7.90046
11 0 3.64004e-05 26.2425
11 0.25 -1.79408 25.9344
11 0.5 -4.29382 24.4442
11 0.75 -7.75741 20.6495
11 1 -11.5133 15.1372
11 1.25 -14.2317 10.9739
11 1.5 -15.9383 8.59247
11 0 -0.000127386 26.2425
11 0.25 -1.79411 25.9341
11 0.5 -4.29334 24.446
11 0.75 -7.78243 20.6293
11 1 -11.5642 15.1157
11 1.25 -14.4106 10.6938
11 1.5 -15.8804 8.73834
11 0 -0.000118044 26.2425
11 0.25 -1.79404 25.935
11 0.5 -4.29254 24.4481
11 0.75 -7.7332 20.7277
11 1 -11.7209 14.812
11 1.25 -14.4441 10.6324
11 1.5 -15.8238 8.93845
11 0 7.84157e-05 26.2425
11 0.25 -1.7942 25.935
11 0.5 -4.29668 24.4437
11 0.75 -7.72996 20.6903
11 1 -11.6009 15.0303
11 1.25 -14.3195 10.867
11 1.5 -15.8249 8.09367
11 0 0.0001776 26.2425
11 0.25 -1.79425 25.9346
11 0.5 -4.29227 24.4482
11 0.75 -7.76462 20.6258
11 1 -11.5664 15.0358
11 1.25 -14.4226 10.4559
11 1.5 -15.7085 9.44022
