L J E r2
9 0 0.000585754 19.0128
9 0.25 -1.4043 18.824
9 0.5 -3.27959 17.9534
9 0.75 -5.70125 15.8517
9 1 -8.20881 12.8423
9 1.25 -10.2322 9.9664
9 1.5 -11.7652 7.56001
9 0 0.000124318 19.0128
9 0.25 -1.40433 18.8238
9 0.5 -3.28304 17.9529
9 0.75 -5.68519 15.8944
9 1 -8.23099 12.7834
9 1.25 -10.3083 9.87672
9 1.5 -11.702 7.59365
9 0 4.17199e-05 19.0128
9 0.25 -1.40344 18.824
9 0.5 -3.27845 17.9598
9 0.75 -5.6874 15.8843
9 1 -8.22269 12.7458
9 1.25 -10.3092 9.79348
9 1.5 -11.8422 7.60406
9 0 -0.00057475 19.0128
9 0.25 -1.40428 18.8238
9 0.5 -3.28441 17.9489
9 0.75 -5.67095 15.8875
9 1 -8.23755 12.7649
9 1.25 -10.2536 9.83351
9 1.5 -11.5948 7.77079
9 0 8.56375e-05 19.0128
9 0.25 -1.40381 18.8242
9 0.5 -3.28603 17.9461
9 0.75 -5.66171 15.9068
9 1 -8.22007 12.8315
9 1.25 -10.2417 9.83763
9 1.5 -11.7048 7.54824
9 0 -0.000252731 19.0128
9 0.25 -1.40398 18.825
9 0.5 -3.28496 17.9455
9 0.75 -5.67444 15.9109
9 1 -8.17802 12.8326
9 1.25 -10.2735 9.84718
9 1.5 -11.6382 7.6625
9 0 0.000622457 19.0128
9 0.25 -1.40545 18.8222
9 0.5 -3.28012 17.951
9 0.75 -5.67917 15.8857
9 1 -8.26125 12.7293
9 1.25 -10.2793 9.84857
9 1.5 -11.6874 7.78648
9 0 0.000210188 19.0128
9 0.25 -1.40453 18.8212
9 0.5 -3.28327 17.9563
9 0.75 -5.68836 15.8848
9 1 -8.29262 12.6876
9 1.25 -10.3207 9.7403
9 1.5 -11.6478 7.80905
9 0 0.000310315 19.0128
9 0.25 -1.40384 18.824
9 0.5 -3.278 17.9576
9 0.75 -5.67435 15.8933
9 1 -8.20799 12.8557
9 1.25 -10.2235 9.83833
9 1.5 -11.6314 7.91793
9 0 -0.000134777 19.0128
9 0.25 -1.40332 18.8244
9 0.5 -3.27899 17.962
9 0.75 -5.68075 15.8888
9 1 -8.22702 12.8118
9 1.25 -10.1995 9.97456
9 1.5 -11.4522 8.07863
