L J E r2
7 0 -0.00147781 12.5744
7 0.25 -1.01622 12.4813
7 0.5 -2.29888 12.0687
7 0.75 -3.80751 11.1622
7 1 -5.3226 9.79266
7 1.25 -6.59129 8.35418
7 1.5 -7.55198 6.92252
7 0 0.000895896 12.5744
7 0.25 -1.01579 12.4789
7 0.5 -2.30102 12.0692
7 0.75 -3.81592 11.1384
7 1 -5.33161 9.78067
7 1.25 -6.5514 8.36252
7 1.5 -7.57021 7.0685
7 0 -0.000351193 12.5744
7 0.25 -1.01562 12.4801
7 0.5 -2.30237 12.0659
7 0.75 -3.81969 11.14
7 1 -5.33048 9.79512
7 1.25 -6.58858 8.32431
7 1.5 -7.5654 7.03037
7 0 -0.000389071 12.5744
7 0.25 -1.01492 12.48
7 0.5 -2.30164 12.0741
7 0.75 -3.79799 11.1706
7 1 -5.33856 9.79469
7 1.25 -6.64337 8.25815
7 1.5 -7.49967 7.11997
7 0 0.000562338 12.5744
7 0.25 -1.01546 12.4778
7 0.5 -2.30182 12.064
7 0.75 -3.81189 11.1609
7 1 -5.33273 9.7777
7 1.25 -6.60703 8.3104
7 1.5 -7.46641 7.20216
7 0 0.000216383 12.5744
7 0.25 -1.01556 12.4794
7 0.5 -2.30561 12.0598
7 0.75 -3.8203 11.1463
7 1 -5.33202 9.8109
7 1.25 -6.58514 8.3374
7 1.5 -7.45541 7.17261
7 0 4.47736e-05 12.5744
7 0.25 -1.01581 12.4796
7 0.5 -2.30484 12.0669
7 0.75 -3.81342 11.155
7 1 -5.32949 9.80085
7 1.25 -6.54634 8.36708
7 1.5 -7.44743 7.13871
7 0 -0.000303328 12.5744
7 0.25 -1.01551 12.4796
7 0.5 -2.3014 12.0659
7 0.75 -3.81694 11.1554
7 1 -5.37144 9.73892
7 1.25 -6.62173 8.27661
7 1.5 -7.49078 7.08833
7 0 0.000680708 12.5744
7 0.25 -1.01568 12.4771
7 0.5 -2.3019 12.0618
7 0.75 -3.81755 11.1646
7 1 -5.29811 9.83444
7 1.25 -6.6269 8.2465
7 1.5 -7.50679 7.06252
7 0 -0.000392118 12.5744
7 0.25 -1.01591 12.4781
7 0.5 -2.30802 12.0604
7 0.75 -3.81295 11.1558
7 1 -5.32897 9.79746
7 1.25 -6.57981 8.28629
7 1.5 -7.56511 6.95526
