L J E r2
8 0 -0.00122641 15.5562
8 0.25 -1.21794 15.4072
8 0.5 -2.81152 14.7434
8 0.75 -4.78833 13.181
8 1 -6.87424 10.8049
8 1.25 -8.58281 8.37665
8 1.5 -9.74258 6.53409
8 0 -2.79161e-06 15.5562
8 0.25 -1.21647 15.4067
8 0.5 -2.81026 14.7409
8 0.75 -4.78894 13.1959
8 1 -6.86201 10.8183
8 1.25 -8.68122 8.22943
8 1.5 -9.77008 6.52504
8 0 0.00068783 15.5562
8 0.25 -1.21639 15.4069
8 0.5 -2.80958 14.7437
8 0.75 -4.79137 13.191
8 1 -6.85138 10.8387
8 1.25 -8.56743 8.39289
8 1.5 -9.68392 6.59047
8 0 0.000258401 15.5562
8 0.25 -1.21745 15.4063
8 0.5 -2.80638 14.7421
8 0.75 -4.81592 13.1484
8 1 -6.89357 10.7729
8 1.25 -8.5985 8.28402
8 1.5 -9.80742 6.34868
8 0 -0.000448248 15.5562
8 0.25 -1.21545 15.409
8 0.5 -2.81294 14.7456
8 0.75 -4.78212 13.2025
8 1 -6.83369 10.8408
8 1.25 -8.63512 8.2
8 1.5 -9.77169 6.54858
8 0 -0.000575424 15.5562
8 0.25 -1.21678 15.4076
8 0.5 -2.81557 14.7295
8 0.75 -4.79393 13.1908
8 1 -6.87761 10.778
8 1.25 -8.65143 8.20643
8 1.5 -9.79838 6.33734
8 0 6.74232e-05 15.5562
8 0.25 -1.21704 15.4078
8 0.5 -2.8147 14.7409
8 0.75 -4.79439 13.191
8 1 -6.88821 10.7827
8 1.25 -8.55691 8.39301
8 1.5 -9.85495 6.36505
8 0 -0.000474514 15.5562
8 0.25 -1.21698 15.4064
8 0.5 -2.81407 14.7364
8 0.75 -4.79325 13.1924
8 1 -6.82731 10.8517
8 1.25 -8.59512 8.24757
8 1.5 -9.64817 6.61595
8 0 0.000158807 15.5562
8 0.25 -1.21559 15.4073
8 0.5 -2.80693 14.7398
8 0.75 -4.79906 13.1747
8 1 -6.90172 10.7762
8 1.25 -8.62665 8.2788
8 1.5 -9.66838 6.6655
8 0 0.000587395 15.5562
8 0.25 -1.21688 15.4068
8 0.5 -2.8113 14.7421
8 0.75 -4.78917 13.1964
8 1 -6.85437 10.8565
8 1.25 -8.56851 8.36364
8 1.5 -9.78182 6.35554
