L J E r2
6 0 -1.5608e-05 9.56338
6 0.25 -0.832073 9.49744
6 0.5 -1.85616 9.20697
6 0.75 -3.02474 8.59784
6 1 -4.21384 7.63377
6 1.25 -5.19888 6.5486
6 1.5 -5.95328 5.56573
6 0 0.000389297 9.56338
6 0.25 -0.833817 9.49692
6 0.5 -1.85731 9.21845
6 0.75 -3.03751 8.59175
6 1 -4.18912 7.67909
6 1.25 -5.19158 6.59519
6 1.5 -5.955 5.56428
6 0 -0.0022195 9.56338
6 0.25 -0.831241 9.49911
6 0.5 -1.85184 9.2167
6 0.75 -3.03139 8.60277
6 1 -4.21054 7.65129
6 1.25 -5.19457 6.57274
6 1.5 -5.97977 5.51851
6 0 -0.000836798 9.56338
6 0.25 -0.832445 9.49761
6 0.5 -1.85662 9.2151
6 0.75 -3.03234 8.60416
6 1 -4.21067 7.63867
6 1.25 -5.19849 6.56662
6 1.5 -5.9652 5.53146
6 0 0.000195738 9.56338
6 0.25 -0.832228 9.49738
6 0.5 -1.8521 9.21641
6 0.75 -3.01784 8.60778
6 1 -4.19793 7.67008
