L J E r2
10 0 0.000174831 22.4114
10 0.25 -1.60347 22.1545
10 0.5 -3.8053 20.9475
10 0.75 -6.73953 17.971
10 1 -9.8661 13.6816
10 1.25 -12.317 9.94514
10 1.5 -14.0168 6.94605
10 0 0.000231171 22.4114
10 0.25 -1.60351 22.156
10 0.5 -3.80361 20.945
10 0.75 -6.74825 17.9571
10 1 -9.96984 13.4723
10 1.25 -12.4455 9.66073
10 1.5 -13.7288 7.52234
10 0 -0.000106957 22.4114
10 0.25 -1.60362 22.1556
10 0.5 -3.80396 20.9449
10 0.75 -6.75375 17.9516
10 1 -9.90874 13.5475
10 1.25 -12.3203 9.79114
10 1.5 -13.8833 7.15313
10 0 0.000114292 22.4114
10 0.25 -1.60394 22.1562
10 0.5 -3.80651 20.9453
10 0.75 -6.74108 17.9651
10 1 -10.0117 13.399
10 1.25 -12.3785 9.71051
10 1.5 -13.8961 7.16199
10 0 0.00029789 22.4114
10 0.25 -1.6036 22.157
10 0.5 -3.80734 20.941
10 0.75 -6.75392 17.9567
10 1 -9.86956 13.601
10 1.25 -12.3561 9.68219
10 1.5 -14.3133 7.0035
10 0 4.11593e-05 22.4114
10 0.25 -1.60356 22.1557
10 0.5 -3.80319 20.9482
10 0.75 -6.77015 17.9305
10 1 -9.90349 13.6046
10 1.25 -12.346 9.74968
10 1.5 -13.8142 7.49202
10 0 0.000127021 22.4114
10 0.25 -1.60299 22.1563
10 0.5 -3.80505 20.9477
10 0.75 -6.7383 17.9841
10 1 -9.8913 13.6154
10 1.25 -12.4491 9.54594
10 1.5 -13.959 7.22796
10 0 0.000183986 22.4114
10 0.25 -1.60389 22.1562
10 0.5 -3.80399 20.9462
10 0.75 -6.73651 17.9757
10 1 -9.93091 13.5413
10 1.25 -12.4055 9.63911
10 1.5 -13.6839 7.29918
10 0 -8.86656e-05 22.4114
10 0.25 -1.60434 22.1547
10 0.5 -3.80293 20.947
10 0.75 -6.76153 17.947
10 1 -9.88466 13.6138
10 1.25 -12.4562 9.40558
10 1.5 -13.9095 7.39293
10 0 -0.000137522 22.4114
10 0.25 -1.60362 22.1541
10 0.5 -3.80356 20.9488
10 0.75 -6.76028 17.9462
10 1 -9.93801 13.4994
10 1.25 -12.4001 9.6487
10 1.5 -13.8225 7.58746
