L J E r2
5 0 -0.000308091 7.04
5 0.3 -0.64344 7.01035
5 0.6 -1.27678 6.90539
5 0.9 -1.86784 6.70418
5 1.2 -2.39723 6.40485
5 1.5 -2.84581 6.01603
5 0 0.00234352 7.04
5 0.3 -0.647583 7.00848
5 0.6 -1.27473 6.90089
5 0.9 -1.86926 6.70695
5 1.2 -2.40197 6.39464
5 1.5 -2.85677 6.00799
5 0 -2.99696e-05 7.04
5 0.3 -0.643647 7.00633
5 0.6 -1.27505 6.90448
5 0.9 -1.86463 6.7074
5 1.2 -2.40163 6.3956
5 1.5 -2.85501 5.98546
5 0 -0.000542023 7.04
5 0.3 -0.645416 7.01075
5 0.6 -1.27465 6.89798
5 0.9 -1.86671 6.71266
5 1.2 -2.39681 6.39477
5 1.5 -2.85226 5.98821
5 0 2.21435e-06 7.04
5 0.3 -0.64651 7.00807
5 0.6 -1.27666 6.90543
5 0.9 -1.86364 6.7082
5 1.2 -2.40737 6.40024
5 1.5 -2.83758 6.02462
5 0 0.0024994 7.04
5 0.3 -0.648569 7.00923
5 0.6 -1.27594 6.90782
5 0.9 -1.86425 6.71397
5 1.2 -2.39663 6.39906
5 1.5 -2.85032 6.01071
5 0 -0.00130733 7.04
5 0.3 -0.645825 7.00972
5 0.6 -1.27792 6.90497
5 0.9 -1.86701 6.69613
5 1.2 -2.40282 6.39703
5 1.5 -2.85955 5.98605
5 0 0.00116997 7.04
5 0.3 -0.644922 7.00926
5 0.6 -1.27428 6.91078
5 0.9 -1.87005 6.71104
5 1.2 -2.39707 6.39938
5 1.5 -2.85472 6.00877
5 0 0.00032907 7.04
5 0.3 -0.645635 7.01048
5 0.6 -1.27406 6.90453
5 0.9 -1.86746 6.71364
5 1.2 -2.39783 6.39959
5 1.5 -2.8414 6.01928
5 0 -0.00152482 7.04
5 0.3 -0.651319 7.01099
5 0.6 -1.27621 6.90638
5 0.9 -1.86919 6.70379
5 1.2 -2.40391 6.39455
5 1.5 -2.8377 6.03201
