L J E r2
6 0 0.00062054 9.56338
6 0.3 -0.829806 9.49953
6 0.6 -1.65597 9.26722
6 0.9 -2.45119 8.83919
6 1.2 -3.21764 8.10369
6 1.5 -3.89833 7.18609
6 0 -0.000445908 9.56338
6 0.3 -0.829077 9.49966
6 0.6 -1.654 9.27138
6 0.9 -2.45538 8.82845
6 1.2 -3.21215 8.13238
6 1.5 -3.89108 7.18573
6 0 0.000259383 9.56338
6 0.3 -0.827871 9.49627
6 0.6 -1.6549 9.26959
6 0.9 -2.45789 8.81309
6 1.2 -3.19874 8.13644
6 1.5 -3.9109 7.15867
6 0 -9.01184e-05 9.56338
6 0.3 -0.829098 9.49665
6 0.6 -1.65614 9.27405
6 0.9 -2.45522 8.81333
6 1.2 -3.20423 8.12968
6 1.5 -3.88647 7.20615
6 0 0.00116363 9.56338
6 0.3 -0.830414 9.49525
6 0.6 -1.65337 9.26976
6 0.9 -2.4537 8.81876
6 1.2 -3.20552 8.12928
6 1.5 -3.87103 7.21222
6 0 0.000846148 9.56338
6 0.3 -0.829259 9.49994
6 0.6 -1.65623 9.27659
6 0.9 -2.45179 8.81909
6 1.2 -3.21366 8.11868
6 1.5 -3.89826 7.21412
6 0 0.000185948 9.56338
6 0.3 -0.829814 9.49739
6 0.6 -1.6514 9.27177
6 0.9 -2.45266 8.81884
6 1.2 -3.20818 8.14203
6 1.5 -3.89596 7.17269
6 0 0.000987294 9.56338
6 0.3 -0.829852 9.49656
6 0.6 -1.64997 9.27624
6 0.9 -2.45923 8.82474
6 1.2 -3.21246 8.11485
6 1.5 -3.88561 7.23862
6 0 -0.000783041 9.56338
6 0.3 -0.829062 9.49781
6 0.6 -1.65622 9.26771
6 0.9 -2.45477 8.81902
6 1.2 -3.21185 8.10761
6 1.5 -3.90261 7.14446
6 0 -0.00031985 9.56338
6 0.3 -0.830538 9.49777
6 0.6 -1.64993 9.27971
6 0.9 -2.4637 8.80484
6 1.2 -3.20766 8.11259
6 1.5 -3.90579 7.16327
