L J E r2
8 0 -4.33596e-06 15.5562
8 0.3 -1.18132 15.4192
8 0.6 -2.36524 14.9444
8 0.9 -3.54707 13.9918
8 1.2 -4.70467 12.4566
8 1.5 -5.7224 10.6364
8 0 -4.51551e-06 15.5562
8 0.3 -1.18025 15.4186
8 0.6 -2.36512 14.9447
8 0.9 -3.55007 13.9956
8 1.2 -4.70049 12.4971
8 1.5 -5.75059 10.5168
8 0 -0.000825114 15.5562
8 0.3 -1.17986 15.4201
8 0.6 -2.36538 14.9525
8 0.9 -3.55148 13.9827
8 1.2 -4.68948 12.5097
8 1.5 -5.69984 10.6759
8 0 -7.96257e-06 15.5562
8 0.3 -1.18067 15.4215
8 0.6 -2.36719 14.9433
8 0.9 -3.54525 13.9966
8 1.2 -4.70134 12.4693
8 1.5 -5.75507 10.55
8 0 -0.000245116 15.5562
8 0.3 -1.18104 15.4179
8 0.6 -2.36671 14.9399
8 0.9 -3.54738 14.0019
8 1.2 -4.68863 12.4921
8 1.5 -5.73475 10.5844
8 0 -0.000278601 15.5562
8 0.3 -1.18077 15.4182
8 0.6 -2.36619 14.9473
8 0.9 -3.54453 13.9918
8 1.2 -4.67868 12.5378
8 1.5 -5.70494 10.688
8 0 0.000284333 15.5562
8 0.3 -1.18202 15.4183
8 0.6 -2.36624 14.9494
8 0.9 -3.54485 14.0054
8 1.2 -4.71138 12.4433
8 1.5 -5.75192 10.5725
8 0 -0.000305702 15.5562
8 0.3 -1.17979 15.42
8 0.6 -2.36737 14.9448
8 0.9 -3.54793 13.9982
8 1.2 -4.69759 12.4747
8 1.5 -5.71977 10.6402
8 0 0.000298552 15.5562
8 0.3 -1.18214 15.4197
8 0.6 -2.36487 14.9476
8 0.9 -3.54901 13.9964
8 1.2 -4.69306 12.5031
8 1.5 -5.71086 10.6469
8 0 -0.00119654 15.5562
8 0.3 -1.18113 15.4188
8 0.6 -2.36406 14.9484
8 0.9 -3.54428 14.0058
8 1.2 -4.69158 12.4895
8 1.5 -5.71408 10.6411
