L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
9 1.25 810000 9.77344 0.279056 -10.3676 0.099355 113.761 1.84611 15384.3 437.55 -0.00471417 0.0417817 0.0200538 0.0386441 0.67613 0.00788792 0.492098 0.00896119 
9 1.25 1620000 9.90569 0.245129 -10.3039 0.0859139 112.689 1.6353 15112.3 382.264 0.0243976 0.0275114 0.00666449 0.0274079 0.672931 0.00586196 0.489079 0.00679616 
9 1.25 2430000 9.95561 0.190734 -10.2879 0.0810202 112.509 1.4782 15114.6 325.557 0.0110762 0.0210941 0.0133165 0.021323 0.674355 0.00490163 0.490938 0.00580606 
9 1.25 3240000 9.82474 0.148903 -10.3233 0.0607294 113.13 1.10673 15243.8 247.229 0.0246673 0.0205763 0.00368821 0.0182882 0.677543 0.00388109 0.494004 0.00451424 
9 1.25 4050000 9.75185 0.148125 -10.273 0.0499373 112.341 0.911641 15128.4 210.399 0.022223 0.017343 -0.00244921 0.0161624 0.674594 0.00309405 0.491332 0.00357799 
9 1.25 4860000 9.74237 0.123635 -10.2833 0.0455422 112.525 0.881116 15175.3 207.737 0.0309701 0.0163776 -0.000434375 0.0160364 0.674978 0.00307071 0.491828 0.00364618 
9 1.25 5670000 9.79612 0.110614 -10.2731 0.0412507 112.343 0.792069 15139.7 184.771 0.0211698 0.014988 -0.00058971 0.0158304 0.675475 0.00277657 0.492283 0.00329105 
9 1.25 6480000 9.8 0.105515 -10.2794 0.0401792 112.518 0.778366 15195 182.533 0.0211865 0.0136688 0.00805973 0.0151825 0.675905 0.00263061 0.493062 0.00314044 
9 1.25 7290000 9.77102 0.0955568 -10.2708 0.0373862 112.341 0.722771 15150 168.386 0.0202467 0.0126935 0.0100096 0.0139783 0.675854 0.00241688 0.492836 0.00289475 
9 1.25 8100000 9.76799 0.0882508 -10.2698 0.0343012 112.257 0.664104 15112.6 155.191 0.0186844 0.0126272 0.00758229 0.012875 0.675929 0.00228253 0.492824 0.00273385 
9 1.25 8910000 9.76963 0.0836102 -10.2646 0.0314926 112.148 0.611856 15084.2 143.901 0.0189959 0.0117122 0.00771539 0.0122082 0.675597 0.00212028 0.49233 0.00255078 
