L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
10 0.5 1000000 20.9252 0.42719 -3.74534 0.107226 24.383 1.08535 1652.03 159.973 0.00507561 0.0110382 0.0207732 0.0114611 0.228058 0.00600662 0.0843223 0.00404813 
10 0.5 2000000 20.9258 0.328229 -3.78926 0.0860254 25.082 0.84342 1757.46 127.504 0.00217645 0.00778364 0.00690977 0.00749395 0.228539 0.0050074 0.0858471 0.0031753 
10 0.5 3000000 20.7404 0.308849 -3.75813 0.0632932 24.9498 0.598771 1721.73 90.1867 -0.000353842 0.00628177 -0.000191014 0.00604829 0.228971 0.00360535 0.0858459 0.00237038 
10 0.5 4000000 20.7049 0.254321 -3.74983 0.0544187 24.8708 0.520849 1700.64 74.868 -0.003149 0.00542309 -0.00226531 0.00521372 0.228322 0.00308557 0.0852358 0.00199159 
10 0.5 5000000 20.7572 0.21508 -3.74116 0.0478834 24.8573 0.467929 1698.17 68.0253 -0.000965795 0.00490174 -0.00168492 0.00479132 0.229 0.00273646 0.0861257 0.0017732 
10 0.5 6000000 20.7663 0.180006 -3.76098 0.042112 24.8874 0.417461 1683.38 59.9919 0.00227972 0.00514609 -0.00219212 0.00440669 0.230635 0.00242503 0.0869518 0.00159381 
10 0.5 7000000 20.7999 0.15387 -3.76624 0.04002 24.8628 0.392286 1673.59 57.1952 0.00230728 0.00431995 5.45068e-05 0.00410298 0.231094 0.00222348 0.0867954 0.00147822 
10 0.5 8000000 20.7448 0.13833 -3.77238 0.0367901 24.8093 0.36258 1660.45 52.7041 0.00117169 0.00386068 -0.000468898 0.00386527 0.232343 0.00207116 0.0874088 0.00137615 
10 0.5 9000000 20.7621 0.126941 -3.77553 0.0350641 24.7869 0.345722 1643.66 48.5647 -0.000537092 0.00360871 -6.14052e-05 0.00356088 0.232278 0.00193407 0.0872707 0.0012865 
10 0.5 10000000 20.7104 0.120976 -3.7927 0.0330049 24.8821 0.321728 1642 45.2841 -0.00193854 0.00347355 -0.00144564 0.00334992 0.232731 0.00182415 0.0871781 0.00120676 
10 0.5 11000000 20.7234 0.115235 -3.79262 0.031264 24.884 0.301619 1644.08 42.5817 -0.00266642 0.00383813 -0.000880053 0.00336253 0.232968 0.00176899 0.0873876 0.00115128 
10 0.5 12000000 20.674 0.11056 -3.79328 0.0301283 24.8921 0.28989 1648.58 40.5067 -0.00217983 0.00383813 -0.00111295 0.00329002 0.232562 0.00176899 0.0872471 0.00109778 
10 0.5 13000000 20.69 0.105658 -3.79616 0.0288374 24.8716 0.276694 1647.88 38.8029 -0.000778318 0.00363329 -0.000175359 0.00306018 0.232219 0.00162489 0.0869312 0.00105108 
10 0.5 14000000 20.6839 0.102464 -3.78735 0.0280249 24.817 0.277175 1648.26 38.5922 -0.000568609 0.00363329 -0.000290118 0.00288438 0.231766 0.00162489 0.0866642 0.00102345 
10 0.5 15000000 20.6463 0.101087 -3.79002 0.0267247 24.8236 0.26262 1646.41 36.6842 0.000112074 0.0032215 -0.0012743 0.00277545 0.232102 0.00149629 0.0869217 0.000980136 
10 0.5 16000000 20.6423 0.0992969 -3.79627 0.0260939 24.8154 0.25141 1636.79 35.4796 0.0010565 0.0032215 -0.0019881 0.00267261 0.232344 0.00145796 0.0870869 0.000951965 
10 0.5 17000000 20.6163 0.0947582 -3.79241 0.0249161 24.7824 0.242838 1637.75 34.0597 0.00154906 0.0031229 -0.00160327 0.00260801 0.231901 0.00140417 0.086861 0.000923655 
10 0.5 18000000 20.6155 0.0919627 -3.80236 0.0242222 24.8781 0.235924 1643.45 32.6875 0.000852273 0.0031229 -0.00153708 0.00253191 0.232507 0.00137666 0.0872871 0.000909717 
10 0.5 19000000 20.5844 0.0901399 -3.80293 0.0234591 24.8556 0.23051 1639.03 32.0963 0.00149399 0.0027764 -0.00189078 0.00244471 0.232561 0.00132902 0.0872502 0.000877509 
10 0.5 20000000 20.5911 0.0897333 -3.81115 0.0229614 24.9686 0.227081 1660.83 31.7829 -5.81274e-06 0.00280657 -0.00143268 0.00237778 0.232982 0.00129379 0.0876743 0.000858189 
10 0.5 21000000 20.6161 0.0870276 -3.80623 0.0222347 24.901 0.218784 1649.3 30.7043 -3.81278e-05 0.00289075 -0.00228707 0.00232495 0.232703 0.00137694 0.087473 0.000828836 
10 0.5 22000000 20.6161 0.0884603 -3.80623 0.0220211 24.901 0.214369 1649.3 29.6403 -3.81278e-05 0.00289075 -0.00228707 0.00226017 0.232703 0.00137694 0.087473 0.000818403 
10 0.5 23000000 20.6056 0.0863661 -3.81195 0.0214824 24.9498 0.208624 1652.62 29.0164 4.84825e-05 0.00262925 -0.00222015 0.00220079 0.233179 0.00137694 0.0877973 0.00079727 
10 0.5 24000000 20.6056 0.0834878 -3.81195 0.0209202 24.9498 0.204025 1652.62 28.8514 4.84825e-05 0.00262925 -0.00222015 0.00214913 0.233179 0.00137694 0.0877973 0.000785454 
10 0.5 25000000 20.6137 0.0805927 -3.80741 0.020262 24.8778 0.198408 1641.45 27.7313 0.000766477 0.00250627 -0.00233152 0.00210438 0.23307 0.00119539 0.0877298 0.000761734 
