L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
11 1.5 1210000 8.22768 0.245851 -16.0906 0.0976501 264.007 3.01739 74397.9 1561.38 0.125139 0.0978483 -0.0395634 0.0773786 0.777752 0.00570889 0.619777 0.00838386 
11 1.5 2420000 8.13728 0.173759 -16.0456 0.070368 262.704 2.14592 73811.8 1103.21 0.0366551 0.0762249 0.0185755 0.0525146 0.776362 0.00389907 0.617448 0.00564495 
11 1.5 3630000 8.23011 0.141531 -16.084 0.0532652 264.045 1.65033 74671.7 872.722 0.00421667 0.0557395 0.0538147 0.0511224 0.774818 0.002773 0.61546 0.00405423 
11 1.5 4840000 8.27656 0.120147 -16.1016 0.0471634 264.624 1.4679 75012.5 780.852 0.0130739 0.0441448 0.0434692 0.0369091 0.775258 0.00235665 0.616225 0.00345096 
11 1.5 6050000 8.31826 0.112231 -16.1068 0.043622 264.737 1.36196 75028.8 722.298 -0.0421159 0.0458851 0.00844568 0.0343728 0.776016 0.00220884 0.61725 0.00318907 
11 1.5 7260000 8.28587 0.100358 -16.1206 0.0398623 265.129 1.24489 75203.1 659.349 -0.0257159 0.0464705 -0.00933315 0.0378567 0.77639 0.00205606 0.61757 0.00293621 
11 1.5 8470000 8.25992 0.0921908 -16.1267 0.0362051 265.317 1.12739 75297.6 594.091 -0.0147342 0.0438704 -0.0142992 0.031697 0.775933 0.00187165 0.617245 0.00265747 
11 1.5 9680000 8.24922 0.0856114 -16.1107 0.0362093 264.844 1.13953 75081.5 610.512 -0.00986887 0.0377519 -0.00641505 0.0276517 0.775336 0.00180633 0.616406 0.00257961 
11 1.5 10890000 8.2801 0.0830027 -16.1133 0.0331224 264.95 1.03948 75137 554.373 -0.00112855 0.03589 -0.0037859 0.0264618 0.775802 0.00163076 0.617122 0.00232479 
11 1.5 12100000 8.19182 0.0902743 -16.1213 0.0317235 265.228 0.984969 75296.6 518.994 0.00152425 0.0319049 -0.00406398 0.0280337 0.776045 0.00156894 0.617615 0.00222518 
11 1.5 13310000 8.19512 0.0860584 -16.1131 0.0305314 264.95 0.944077 75137.1 491.747 -0.00360987 0.0288036 -0.00208432 0.0288062 0.775626 0.0015362 0.616958 0.00215621 
11 1.5 14520000 8.21893 0.0814622 -16.1043 0.0287463 264.716 0.895608 75049.4 475.16 -0.00440621 0.0261961 -0.00691835 0.02659 0.774977 0.00145825 0.616185 0.00204839 
11 1.5 15730000 8.2098 0.0844177 -16.1058 0.0276685 264.736 0.862403 75039.1 457.313 -0.0054189 0.0240327 -0.0068482 0.0243742 0.775082 0.00139042 0.616255 0.00195863 
11 1.5 16940000 8.17728 0.0793826 -16.1033 0.0263083 264.642 0.816982 74982.1 434.799 -0.00974933 0.0228025 -0.00452786 0.0228224 0.774834 0.00133551 0.615798 0.00189038 
11 1.5 18150000 8.15388 0.076077 -16.1058 0.0257944 264.693 0.806309 74981.6 427.444 -0.00633765 0.0220514 -0.00292692 0.0224008 0.775112 0.00130527 0.61605 0.001861 
11 1.5 19360000 8.14271 0.0722039 -16.1185 0.0246597 265.092 0.76958 75195.9 407.892 0.00218025 0.0217642 -0.00510457 0.0219697 0.77583 0.00123691 0.617079 0.00176321 
11 1.5 20570000 8.14331 0.0679552 -16.132 0.0289221 265.501 0.900248 75398.1 476.136 0.00934821 0.0218015 -0.0138639 0.0213625 0.776531 0.00142096 0.618072 0.00202019 
11 1.5 21780000 8.15889 0.0677911 -16.135 0.0289221 265.57 0.900248 75414.4 476.136 0.00837501 0.0210532 -0.0121425 0.0207447 0.776693 0.00142096 0.618241 0.00202019 
11 1.5 22990000 8.17513 0.0651695 -16.1351 0.0258715 265.597 0.805289 75450.7 426.134 0.0110142 0.0199325 -0.0132475 0.0200771 0.77672 0.0012756 0.618301 0.00180865 
11 1.5 24200000 8.16005 0.0642728 -16.1322 0.0258715 265.513 0.805289 75408.9 426.134 0.00737258 0.0192451 -0.0147516 0.0193498 0.776519 0.0012756 0.618022 0.00180865 
11 1.5 25410000 8.15801 0.0605212 -16.1337 0.0233223 265.542 0.726626 75413.9 385.109 0.00792354 0.0185762 -0.0133806 0.0185796 0.776444 0.00117754 0.617887 0.00167466 
11 1.5 26620000 8.15801 0.0600829 -16.1337 0.0233223 265.542 0.726626 75413.9 385.109 0.00792354 0.0178603 -0.0133806 0.018175 0.776444 0.00117754 0.617887 0.00167466 
11 1.5 27830000 8.15243 0.0588878 -16.1458 0.0241682 265.943 0.763367 75646.3 414.356 0.0065355 0.0173124 -0.0098133 0.0177704 0.776629 0.00118507 0.618221 0.00168982 
11 1.5 29040000 8.15243 0.056393 -16.1458 0.0241681 265.943 0.76325 75646.3 414.356 0.0065355 0.0170659 -0.0098133 0.0175669 0.776629 0.00114338 0.618221 0.00162605 
11 1.5 30250000 8.16439 0.0550088 -16.1431 0.0223162 265.869 0.703196 75621.5 380.568 0.0127658 0.0165784 -0.018736 0.0170892 0.776631 0.00110574 0.618222 0.00157871 
11 1.5 31460000 8.16439 0.0535072 -16.1431 0.0223057 265.869 0.703196 75621.5 380.568 0.0127658 0.0170157 -0.018736 0.0168634 0.776631 0.00106734 0.618222 0.00152286 
11 1.5 32670000 8.18157 0.0526522 -16.1304 0.0239617 265.47 0.754018 75409.9 405.869 0.0153071 0.0171569 -0.0248529 0.0164724 0.776054 0.00112228 0.617387 0.00159792 
11 1.5 33880000 8.18157 0.0508225 -16.1304 0.0239617 265.47 0.754018 75409.9 405.869 0.0153071 0.0169269 -0.0248529 0.016085 0.776054 0.00108073 0.617387 0.00154126 
11 1.5 35090000 8.18938 0.0496194 -16.135 0.0226906 265.63 0.717055 75507.5 388.42 0.0192672 0.0163237 -0.0260773 0.0157886 0.776267 0.00106423 0.617672 0.00151337 
11 1.5 36300000 8.18938 0.0484561 -16.135 0.0226906 265.63 0.717055 75507.5 388.42 0.0192672 0.016164 -0.0260773 0.0154191 0.776267 0.00111563 0.617672 0.00156477 
11 1.5 37510000 8.20013 0.0468419 -16.1257 0.0229969 265.362 0.717666 75383.4 381.841 0.0195013 0.0159823 -0.0245291 0.0151635 0.775675 0.00110772 0.616887 0.00155756 
11 1.5 38720000 8.20013 0.0464805 -16.1257 0.0229969 265.362 0.717666 75383.4 381.841 0.0195013 0.015501 -0.0245291 0.0149525 0.775675 0.00110772 0.616887 0.00155756 
