L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
400 0.28 64000000 1729 0 -65.0811 0 4235.55 0 1.79399e+07 0 -0.0273612 0 0.0126105 0 0.000907659 0 8.23846e-07 0 0.0301274 0 10.2974 0 31.1683 0 177.229 0 218.695 0 218.695 0 0.518903 0 
400 0.28 67200000 1325 285.671 -95.2738 21.3494 9988.69 4068.08 1.32872e+08 8.12696e+07 -0.0231702 0.00296347 0.0028319 0.00691455 0.000658064 0.000176491 4.95346e-07 2.32284e-07 0.025169 0.00350612 9.01742 0.905083 28.3511 1.99206 125.216 36.7791 162.584 39.6763 162.584 39.6763 0.411053 0.0762611 
400 0.28 70400000 2092.33 654.831 -116.958 22.7165 15227.2 5064.59 3.08818e+08 1.53536e+08 0.0222417 0.0371312 0.0265922 0.0199403 0.00653087 0.00479657 0.000111673 9.07767e-05 0.0618428 0.0300352 7.52131 1.36246 23.1763 4.42896 164.099 40.1139 194.796 37.3014 194.796 37.3014 0.544033 0.119891 
400 0.28 73600000 1778 561.521 -109.821 18.1239 13374.5 4123.42 2.46887e+08 1.2703e+08 0.0157803 0.028405 0.0077381 0.022142 0.00549735 0.0037071 8.51912e-05 7.18415e-05 0.0586214 0.0226985 9.30313 1.85076 22.4924 3.37411 164.012 30.0855 195.808 27.9897 195.808 27.9897 0.543349 0.08992 
400 0.28 76800000 1661.8 461.083 -110.297 14.5053 13217.4 3301.73 2.29207e+08 1.02847e+08 0.014374 0.0227588 0.0322348 0.0281752 0.00780472 0.00361309 0.000126186 6.81734e-05 0.0730001 0.0222517 9.39196 1.48274 24.7977 3.39668 163.446 24.0737 197.636 22.4514 197.636 22.4514 0.529177 0.0730444 
400 0.28 80000000 1499 411.976 -118.954 14.4419 15401.4 3397.84 3.06476e+08 1.10999e+08 0.0187698 0.0193855 0.0355896 0.0236782 0.00723766 0.00305508 0.000108385 5.90895e-05 0.0718918 0.0185707 10.1728 1.42649 23.4964 3.06974 142.483 27.7248 176.152 27.1046 176.152 27.1046 0.458489 0.0887083 
400 0.28 83200000 1703.29 400.582 -121.036 12.5279 15748.3 2930.08 3.08105e+08 9.51542e+07 0.0241436 0.017345 0.0438465 0.0216875 0.00790382 0.00269029 0.000113134 5.08386e-05 0.0772059 0.0166607 10.5748 1.27809 24.683 2.85136 2109.15 1820.93 2144.4 1822.39 2144.4 1822.39 0.534475 0.103588 
400 0.28 86400000 1624.5 358.173 -115.115 12.2813 14458.2 2833.62 2.73275e+08 8.94077e+07 0.0176287 0.0163547 0.0440642 0.0189777 0.00727345 0.00242673 0.000100015 4.61454e-05 0.0742411 0.0148396 13.4025 2.87174 1093.33 999.633 3865.37 2288.54 4972.1 3088.55 4972.1 3088.55 0.507459 0.0940969 
400 0.28 89600000 1909.22 416.441 -114.943 10.918 14284.7 2524.08 2.61391e+08 8.02595e+07 0.0184481 0.014558 0.0343237 0.0192068 0.00674597 0.00221368 8.96115e-05 4.21746e-05 0.0715766 0.0134278 13.0853 2.57011 973.968 895.661 3496.91 2063.71 4483.97 2783.68 4483.97 2783.68 0.545814 0.091124 
400 0.28 92800000 2009.2 401.315 -122.074 11.93 16325.4 2984.71 3.55602e+08 1.14917e+08 0.0210765 0.0133374 0.0182872 0.0274614 0.0078601 0.00225532 0.000112646 4.3798e-05 0.0777933 0.0134473 13.5629 2.35705 891.189 809.911 3890.11 2579.43 4794.86 3326.54 4794.86 3326.54 0.584878 0.0952601 
