L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
300 0.27 66600000 736.333 95.7394 -83.0546 6.2536 7602.01 1149.75 8.15851e+07 2.40442e+07 -0.0187343 0.0173975 0.00759983 0.0141849 0.00947862 0.00151992 0.000131427 3.61104e-05 0.0901534 0.00866339 10.8781 1.55402 39.6572 6.37106 2490.63 898.887 2541.16 901.904 2541.16 901.904 0.61262 0.0702399 
300 0.27 68400000 700.579 96.7925 -86.5073 6.81122 8364.98 1318.3 1.02993e+08 3.08716e+07 -0.0214769 0.0166966 0.00505183 0.0136652 0.00933156 0.00144702 0.000126861 3.61104e-05 0.0897116 0.00821868 10.6962 1.48283 38.2373 6.37106 2361.35 860.824 2410.28 863.88 2410.28 863.88 0.591206 0.069731 
300 0.27 70200000 675.3 103.813 -85.4391 6.55389 8158.91 1268.39 9.8744e+07 2.9619e+07 -0.024797 0.0161885 0.0030498 0.0131278 0.00931233 0.0013748 0.000124521 3.62328e-05 0.0899555 0.00781137 10.7873 1.41148 37.228 6.17975 2245.56 859.314 2293.57 860.051 2293.57 860.051 0.569756 0.0714623 
300 0.27 72000000 675.3 103.813 -85.4391 6.39945 8158.91 1232.42 9.8744e+07 2.84597e+07 -0.024797 0.0156809 0.0030498 0.0128631 0.00931233 0.00136396 0.000124521 3.62328e-05 0.0899555 0.00748556 10.7873 1.37828 37.228 6.17975 2245.56 859.314 2293.57 860.051 2293.57 860.051 0.569756 0.0714623 
300 0.27 73800000 672.182 94.4218 -86.927 6.1087 8377.27 1176.82 1.00646e+08 2.72338e+07 -0.0211744 0.0149833 0.000107989 0.0122793 0.00870455 0.00136396 0.000114429 3.62328e-05 0.0853947 0.00801221 10.1817 1.34657 36.1605 5.70941 2047.5 859.314 2093.84 860.051 2093.84 860.051 0.548464 0.0704748 
300 0.27 75600000 672.182 94.4218 -86.927 5.96936 8377.27 1145.47 1.00646e+08 2.63242e+07 -0.0211744 0.0143324 0.000107989 0.012251 0.00870455 0.00136396 0.000114429 3.62328e-05 0.0853947 0.00766385 10.1817 1.56619 36.1605 5.70941 2047.5 859.314 2093.84 860.051 2093.84 860.051 0.548464 0.0704748 
300 0.27 77400000 664.75 86.8453 -84.3924 5.85751 7945.53 1117.7 9.31136e+07 2.54799e+07 -0.0221521 0.0137606 -0.00332843 0.0117412 0.00835482 0.00143386 0.000107222 3.40742e-05 0.083572 0.00813536 10.9847 1.50466 36.1545 5.23363 2053.14 737.323 2100.28 738.11 2100.28 738.11 0.557098 0.062937 
300 0.27 79200000 664.75 86.8453 -84.3924 5.72821 7945.53 1089.02 9.31136e+07 2.46756e+07 -0.0221521 0.0132168 -0.00332843 0.0117497 0.00835482 0.00143386 0.000107222 3.40742e-05 0.083572 0.00813536 10.9847 1.44447 36.1545 5.23363 2053.14 737.323 2100.28 738.11 2100.28 738.11 0.557098 0.062937 
300 0.27 81000000 635.923 84.8144 -84.7417 5.6918 8023.47 1079.58 9.46791e+07 2.42045e+07 -0.0247746 0.0130557 -0.00135355 0.0113823 0.00841585 0.00143386 0.000105856 3.40742e-05 0.084436 0.00813536 10.8464 1.39549 35.6081 4.85948 2128.16 737.323 2174.62 738.11 2174.62 738.11 0.567899 0.0598548 
300 0.27 82800000 635.923 84.8144 -84.7417 5.49454 8023.47 1043.65 9.46791e+07 2.34256e+07 -0.0247746 0.0125728 -0.00135355 0.0113499 0.00841585 0.00143386 0.000105856 3.40742e-05 0.084436 0.00813536 10.8464 1.36325 35.6081 4.85948 2128.16 737.323 2174.62 738.11 2174.62 738.11 0.567899 0.0598548 
300 0.27 84600000 657 81.333 -84.7088 5.31008 7965.1 1006.97 9.18347e+07 2.25934e+07 -0.0253364 0.0121424 0.00260472 0.0109847 0.00815556 0.00124279 0.000100219 2.99174e-05 0.0832188 0.00698083 10.4667 1.32234 35.6066 4.51237 1984.51 635.39 2030.58 638.026 2030.58 638.026 0.555741 0.0560566 
300 0.27 86400000 657 81.333 -84.7088 5.13211 7965.1 972.345 9.18347e+07 2.18268e+07 -0.0253364 0.0119398 0.00260472 0.0110306 0.00815556 0.00124279 0.000100219 2.99174e-05 0.0832188 0.00698083 10.4667 1.2975 35.6066 4.51237 1984.51 690.778 2030.58 693.209 2030.58 693.209 0.555741 0.0560447 
300 0.27 88200000 679 78.8301 -83.3515 5.20173 7759.22 964.455 8.81106e+07 2.13006e+07 -0.0197193 0.0119934 0.00408705 0.0107787 0.00820617 0.00124279 9.89447e-05 2.99174e-05 0.0839492 0.00698083 10.2914 1.25563 35.8887 4.22035 2236.14 671.443 2282.33 673.806 2282.33 673.806 0.568624 0.0542095 
300 0.27 90000000 679 78.8301 -83.3515 5.05962 7759.22 938.951 8.81106e+07 2.07248e+07 -0.0197193 0.0122396 0.00408705 0.0104313 0.00820617 0.00124279 9.89447e-05 2.99174e-05 0.0839492 0.00698083 10.2914 1.21565 35.8887 4.22035 2236.14 653.347 2282.33 655.678 2282.33 655.678 0.568624 0.0537628 
300 0.27 91800000 677.438 73.9187 -82.6893 4.90357 7606.97 910.839 8.4414e+07 2.01325e+07 -0.0156846 0.0122443 -0.000810741 0.0111614 0.00873222 0.00121388 0.000112333 2.85251e-05 0.0866202 0.0068872 10.1608 1.18902 37.4403 4.50888 2223.67 635.394 2271.27 637.815 2271.27 637.815 0.574253 0.0522842 
300 0.27 93600000 677.438 73.9187 -82.6893 4.7561 7606.97 883.256 8.4414e+07 1.95421e+07 -0.0156846 0.0122443 -0.000810741 0.0109606 0.00873222 0.00121388 0.000112333 2.85251e-05 0.0866202 0.0068872 10.1608 1.15342 37.4403 4.37314 2223.67 619.355 2271.27 621.703 2271.27 621.703 0.574253 0.0511229 
300 0.27 95400000 704 74.1897 -82.8867 4.61711 7595 857.3 8.26728e+07 1.89859e+07 -0.0153856 0.0122443 0.00108797 0.0106392 0.00832732 0.00121388 0.00010612 2.85251e-05 0.0834789 0.0068872 10.6474 1.23058 38.0611 4.30185 2268.35 610.601 2317.05 613.057 2317.05 613.057 0.578996 0.0508764 
300 0.27 97200000 704 74.1897 -82.8867 4.50435 7595 836.941 8.26728e+07 1.85235e+07 -0.0153856 0.0122443 0.00108797 0.0103474 0.00832732 0.00121388 0.00010612 2.85251e-05 0.0834789 0.0068872 10.6474 1.19664 38.0611 4.19308 2268.35 599.116 2317.05 600.276 2317.05 600.276 0.578996 0.0515141 
300 0.27 99000000 680.722 73.6294 -82.5852 4.38082 7511.22 813.692 8.02538e+07 1.80212e+07 -0.0129126 0.0111932 3.6715e-05 0.0101771 0.00822248 0.00118119 0.000103895 2.65743e-05 0.0828758 0.00706688 11.4557 1.48742 54.836 17.3697 2284.2 585.22 2350.49 590.153 2350.49 590.153 0.567497 0.050185 
300 0.27 100800000 680.722 73.6294 -82.5852 4.26278 7511.22 792.179 8.02538e+07 1.75638e+07 -0.0129126 0.0111932 3.6715e-05 0.00999809 0.00822248 0.00118119 0.000103895 2.65743e-05 0.0828758 0.00706688 11.4557 1.48742 54.836 16.9268 2284.2 572.28 2350.49 577.159 2350.49 577.159 0.567497 0.0488293 
300 0.27 102600000 669.316 70.6322 -83.0888 4.18725 7570.01 776.06 8.01913e+07 1.71285e+07 -0.0115491 0.0111932 0.000130674 0.0098462 0.00799397 0.00118119 9.9236e-05 2.65743e-05 0.0817843 0.00706688 11.1939 1.48742 52.892 16.7208 2168.91 560.071 2233 564.913 2233 564.913 0.5614 0.0478923 
300 0.27 104400000 669.316 70.6322 -83.0888 4.08022 7570.01 756.204 8.01913e+07 1.67039e+07 -0.0115491 0.0111932 0.000130674 0.00979189 0.00799397 0.00118119 9.9236e-05 2.65743e-05 0.0817843 0.00706688 11.1939 1.48742 52.892 16.7208 2168.91 548.178 2233 552.972 2233 552.972 0.5614 0.0466645 
300 0.27 106200000 699 73.0724 -82.9353 3.98346 7512.98 738.879 7.82825e+07 1.63295e+07 -0.0111169 0.0102169 -0.00115674 0.0100793 0.00816036 0.0010647 0.00010209 2.39781e-05 0.0828579 0.00636021 11.126 1.37474 51.5955 15.7145 2067.38 536.65 2130.1 541.334 2130.1 541.334 0.557924 0.0456169 
300 0.27 108000000 699 73.0724 -82.9353 4.0008 7512.98 742.949 7.82825e+07 1.6315e+07 -0.0111169 0.0102169 -0.00115674 0.0101408 0.00816036 0.0010647 0.00010209 2.39781e-05 0.0828579 0.00636021 11.126 1.37982 51.5955 26.941 2067.38 570.645 2130.1 584.212 2130.1 584.212 0.557924 0.0448155 
300 0.27 109800000 699 70.674 -82.9353 3.96288 7512.98 734.548 7.82825e+07 1.60321e+07 -0.0111169 0.0102169 -0.00115674 0.00990212 0.00816036 0.0010647 0.00010209 2.39781e-05 0.0828579 0.00636021 11.126 1.37474 51.5955 26.3297 2067.38 559.519 2130.1 572.834 2130.1 572.834 0.557924 0.0440414 
300 0.27 111600000 699 70.674 -82.9353 3.87147 7512.98 717.469 7.82825e+07 1.5669e+07 -0.0111169 0.0102169 -0.00115674 0.00982168 0.00816036 0.0010647 0.00010209 2.39781e-05 0.0828579 0.00636021 11.126 1.37474 51.5955 25.7353 2067.38 548.782 2130.1 561.828 2130.1 561.828 0.557924 0.043574 
300 0.27 113400000 699.955 68.7527 -84.8834 3.79026 7837.3 701.65 8.30851e+07 1.5313e+07 -0.00999033 0.00934998 0.0027682 0.00959874 0.00791558 0.000995654 9.78895e-05 2.21632e-05 0.081069 0.00602832 11.3552 1.30892 70.4389 25.1851 2147.25 538.265 2229.05 551.098 2229.05 551.098 0.555547 0.0428097 
300 0.27 115200000 699.955 68.7527 -84.8834 3.72665 7837.3 689.97 8.30851e+07 1.50362e+07 -0.00999033 0.00934998 0.0027682 0.00939261 0.00791558 0.000995654 9.78895e-05 2.21632e-05 0.081069 0.00602832 11.3552 1.28367 70.4389 24.6494 2147.25 528.204 2229.05 540.807 2229.05 540.807 0.555547 0.0418801 
300 0.27 117000000 699.955 65.7802 -84.8834 3.66753 7837.3 678.972 8.30851e+07 1.47713e+07 -0.00999033 0.00934998 0.0027682 0.00922754 0.00791558 0.000995654 9.78895e-05 2.21632e-05 0.081069 0.00602832 11.3552 1.26872 70.4389 24.1395 2147.25 518.489 2229.05 530.87 2229.05 530.87 0.555547 0.0409858 
300 0.27 118800000 699.955 65.7802 -84.8834 3.59319 7837.3 664.71 8.30851e+07 1.44583e+07 -0.00999033 0.00934998 0.0027682 0.0095813 0.00791558 0.000995654 9.78895e-05 2.21632e-05 0.081069 0.00602832 11.3552 1.26872 70.4389 23.6485 2147.25 509.208 2229.05 521.384 2229.05 521.384 0.555547 0.0403695 
300 0.27 120600000 693.792 63.203 -83.7328 3.55502 7617.81 656.487 7.87179e+07 1.42255e+07 -0.00694795 0.00905227 0.00686548 0.0100889 0.00789 0.000937139 0.000104407 2.18336e-05 0.0796775 0.0056843 11.0811 1.21351 66.8562 23.1579 2119.26 508.947 2197.2 520.574 2197.2 520.574 0.557279 0.0404854 
300 0.27 122400000 693.792 63.203 -83.7328 3.53881 7617.81 652.882 7.87179e+07 1.40677e+07 -0.00694795 0.00905227 0.00686548 0.0100889 0.00789 0.000918382 0.000104407 2.18336e-05 0.0796775 0.0056843 11.0811 1.19222 66.8562 22.7017 2119.26 500.173 2197.2 511.598 2197.2 511.598 0.557279 0.0396822 
300 0.27 124200000 693.792 61.1264 -83.7328 3.55326 7617.81 649.632 7.87179e+07 1.38692e+07 -0.00694795 0.00905227 0.00686548 0.0100889 0.00789 0.000913011 0.000104407 2.1253e-05 0.0796775 0.0056843 11.0811 1.19222 66.8562 22.2627 2119.26 491.677 2197.2 502.905 2197.2 502.905 0.557279 0.0389132 
300 0.27 126000000 693.792 61.1264 -83.7328 3.49497 7617.81 639.289 7.87179e+07 1.36413e+07 -0.00694795 0.00905227 0.00686548 0.0100889 0.00789 0.000913011 0.000104407 2.1253e-05 0.0796775 0.0056843 11.0811 1.19222 66.8562 21.836 2119.26 483.602 2197.2 494.622 2197.2 494.622 0.557279 0.0393299 
300 0.27 127800000 706.5 58.9911 -83.3048 3.42776 7550.67 627.099 7.74618e+07 1.33908e+07 -0.00715119 0.00850112 0.0066436 0.0100889 0.00796227 0.000886269 0.000104242 2.0486e-05 0.080476 0.00554972 11.0747 1.12259 63.5434 21.4368 1963.46 475.724 2038.08 486.574 2038.08 486.574 0.541524 0.0387147 
300 0.27 129600000 706.5 58.9911 -83.3048 3.36573 7550.67 616.135 7.74618e+07 1.31636e+07 -0.00715119 0.00835823 0.0066436 0.0100889 0.00796227 0.000879332 0.000104242 2.03841e-05 0.080476 0.00554972 11.0747 1.1018 63.5434 21.047 1963.46 468.139 2038.08 478.811 2038.08 478.811 0.541524 0.0389745 
300 0.27 131400000 706.5 56.9804 -83.3048 3.31368 7550.67 606.845 7.74618e+07 1.29578e+07 -0.00715119 0.00835823 0.0066436 0.0100889 0.00796227 0.000866811 0.000104242 1.99489e-05 0.080476 0.00554972 11.0747 1.10053 63.5434 20.6624 1963.46 459.526 2038.08 470.006 2038.08 470.006 0.541524 0.0387854 
300 0.27 133200000 706.5 56.9804 -83.3048 3.27384 7550.67 599.218 7.74618e+07 1.27684e+07 -0.00715119 0.00835823 0.0066436 0.0100889 0.00796227 0.000861089 0.000104242 1.99489e-05 0.080476 0.00554972 11.0747 1.10053 63.5434 20.3805 1963.46 464.147 2038.08 474.623 2038.08 474.623 0.541524 0.0387356 
300 0.27 135000000 716.679 56.8138 -82.4255 3.21733 7373.63 589.195 7.38108e+07 1.25612e+07 -0.00479527 0.0083311 0.0062871 0.00866423 0.00780505 0.00086612 0.000102928 1.96908e-05 0.0791233 0.00525178 11.1333 1.04549 64.6844 20.0227 2009.4 457.169 2085.22 467.469 2085.22 467.469 0.541442 0.0383521 
300 0.27 136800000 716.679 56.8138 -82.4255 3.1736 7373.63 581.209 7.38108e+07 1.23774e+07 -0.00479527 0.0082883 0.0062871 0.00866423 0.00780505 0.000851434 0.000102928 1.93789e-05 0.0791233 0.00515967 11.1333 1.05207 64.6844 19.6733 2009.4 449.751 2085.22 459.832 2085.22 459.832 0.541442 0.0377182 
300 0.27 138600000 716.679 58.3529 -82.4255 3.12908 7373.63 572.283 7.38108e+07 1.21668e+07 -0.00479527 0.0081509 0.0062871 0.00866423 0.00780505 0.000837658 0.000102928 1.9084e-05 0.0791233 0.00509365 11.1333 1.04314 64.6844 19.3377 2009.4 465.56 2085.22 474.819 2085.22 474.819 0.541442 0.0378357 
300 0.27 140400000 716.679 58.3529 -82.4255 3.09497 7373.63 565.66 7.38108e+07 1.20007e+07 -0.00479527 0.00808643 0.0062871 0.00866423 0.00780505 0.000824243 0.000102928 1.8848e-05 0.0791233 0.00509365 11.1333 1.02683 64.6844 19.0187 2009.4 474.746 2085.22 483.39 2085.22 483.39 0.541442 0.0379074 
300 0.27 142200000 776.467 71.5519 -82.256 3.0503 7324.31 556.882 7.22526e+07 1.18013e+07 -0.00466262 0.00798081 0.00778931 0.00866423 0.00778547 0.000814934 0.000100461 1.85148e-05 0.0795228 0.00493559 11.2013 1.01248 64.0374 18.7018 2411.92 543.517 2487.16 547.22 2487.16 547.22 0.565247 0.0379248 
300 0.27 144000000 776.467 70.5318 -82.256 3.01718 7324.31 550.533 7.22526e+07 1.16446e+07 -0.00466262 0.00785423 0.00778931 0.00866423 0.00778547 0.000810278 0.000100461 1.8284e-05 0.0795228 0.00494279 11.2013 0.999075 64.0374 18.4063 2411.92 543.517 2487.16 547.22 2487.16 547.22 0.565247 0.0378368 
300 0.27 145800000 776.467 69.3945 -82.256 2.97778 7324.31 542.659 7.22526e+07 1.14595e+07 -0.00466262 0.00785191 0.00778931 0.00866423 0.00778547 0.000798914 0.000100461 1.79921e-05 0.0795228 0.00488076 11.2013 0.985256 64.0374 18.1096 2411.92 543.517 2487.16 547.22 2487.16 547.22 0.565247 0.037786 
300 0.27 147600000 776.467 68.8086 -82.256 2.94422 7324.31 536.397 7.22526e+07 1.13104e+07 -0.00466262 0.00778497 0.00778931 0.00866423 0.00778547 0.000789517 0.000100461 1.77622e-05 0.0795228 0.00481677 11.2013 0.972826 64.0374 17.829 2411.92 543.517 2487.16 547.22 2487.16 547.22 0.565247 0.037642 
300 0.27 149400000 766.281 67.652 -81.2128 2.97403 7161.59 535.468 6.96388e+07 1.11841e+07 -0.00492475 0.00766368 0.00533772 0.00769845 0.00760462 0.000778272 9.65955e-05 1.75211e-05 0.0785162 0.00474313 11.201 0.960062 63.6181 17.5569 2533.16 532.52 2607.98 531.229 2607.98 531.229 0.571945 0.0370553 
300 0.27 151200000 766.281 67.0948 -81.2128 2.92829 7161.59 527.334 6.96388e+07 1.10202e+07 -0.00492475 0.00755214 0.00533772 0.00786739 0.00760462 0.000782068 9.65955e-05 1.75803e-05 0.0785162 0.00474518 11.201 0.946482 63.6181 17.292 2533.16 532.52 2607.98 531.229 2607.98 531.229 0.571945 0.0367775 
300 0.27 153000000 766.281 66.2658 -81.2128 2.8949 7161.59 521.295 6.96388e+07 1.08813e+07 -0.00492475 0.0074624 0.00533772 0.00775019 0.00760462 0.000775955 9.65955e-05 1.73762e-05 0.0785162 0.00471309 11.201 0.936239 63.6181 17.0467 2533.16 532.52 2607.98 531.229 2607.98 531.229 0.571945 0.0362377 
300 0.27 154800000 766.281 65.3326 -81.2128 2.85905 7161.59 514.959 6.96388e+07 1.07426e+07 -0.00492475 0.00740752 0.00533772 0.00773617 0.00760462 0.000765844 9.65955e-05 1.71194e-05 0.0785162 0.0046581 11.201 0.924294 63.6181 16.7951 2533.16 532.52 2607.98 531.229 2607.98 531.229 0.571945 0.0362611 
