L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
600 0.28 144000000 1565 0 -174.401 0 30415.8 0 9.2512e+08 0 -0.0685214 0 -0.0203585 0 0.00510965 0 2.61085e-05 0 0.0714818 0 22.3974 0 34.6604 0 191.608 0 248.666 0 248.666 0 0.431919 0 
600 0.28 151200000 797 543.058 -1051.87 620.465 1.87639e+06 1.3053e+06 6.92844e+12 4.8985e+12 0.203865 0.192606 0.112849 0.0941922 0.146235 0.0997906 0.041301 0.0291857 0.303771 0.164253 13.959 5.96685 21.5906 9.24177 103.486 62.3116 139.036 77.5202 139.036 77.5202 0.260116 0.121483 
600 0.28 158400000 550.333 414.289 -1314.61 465.964 2.37957e+06 962312 8.44051e+12 3.49124e+12 0.289666 0.146272 0.146697 0.0686074 0.183734 0.0732346 0.0498481 0.0206708 0.372066 0.122883 11.4315 4.48137 17.3474 7.06844 73.8512 48.0743 102.63 59.6189 102.63 59.6189 0.193321 0.0976399 
600 0.28 165600000 416 331.781 -1478.8 377.293 2.75625e+06 792032 1.01062e+13 2.98949e+12 0.335017 0.116523 0.175184 0.057064 0.210261 0.0595368 0.0583883 0.017177 0.413642 0.098946 9.96686 3.59241 15.1462 5.63366 59.3217 38.1883 84.4348 47.4095 84.4348 47.4095 0.167966 0.0764512 
600 0.28 172800000 342.6 273.424 -1572.39 313.226 2.96295e+06 660047 1.09574e+13 2.50985e+12 0.363545 0.0966472 0.189279 0.04736 0.22591 0.0496434 0.0633575 0.0144425 0.438339 0.0821811 9.02798 2.9941 13.8986 4.64302 50.6182 31.5269 73.5448 39.1583 73.5448 39.1583 0.153469 0.0625203 
600 0.28 180000000 286.333 233.571 -1644.44 269.182 3.13895e+06 573022 1.18231e+13 2.23587e+12 0.383406 0.0825548 0.200086 0.0406808 0.237856 0.0427826 0.0675574 0.0126313 0.456201 0.0703987 8.34384 2.57206 13.1141 3.93491 44.7908 26.8055 66.2487 33.3047 66.2487 33.3047 0.144359 0.0527598 
600 0.28 187200000 250.143 202.988 -1772.34 259.337 3.61197e+06 658049 1.60775e+13 4.38032e+12 0.413642 0.076097 0.223581 0.0410978 0.273446 0.0492999 0.0917862 0.0249077 0.490722 0.068283 7.9108 2.24078 12.3414 3.44781 39.8079 23.4347 60.0601 29.1162 60.0601 29.1162 0.128047 0.0476776 
600 0.28 194400000 220.25 179.802 -1890.05 252.224 4.08123e+06 724026 2.08501e+13 5.88393e+12 0.43936 0.0707975 0.240541 0.0393047 0.303354 0.0514151 0.113172 0.0295831 0.518887 0.0652982 7.55548 1.98865 11.825 3.05525 35.9542 20.8199 55.3347 25.8573 55.3347 25.8573 0.11529 0.043391 
600 0.28 201600000 202.556 160.692 -2031.53 260.878 4.73963e+06 894161 2.96598e+13 9.81539e+12 0.466441 0.0679134 0.257692 0.0384981 0.338821 0.0566289 0.143661 0.038959 0.548902 0.0645738 7.28859 1.78551 11.2429 2.77068 32.722 18.7557 51.2535 23.3041 51.2535 23.3041 0.103292 0.0401944 
600 0.28 208800000 183.2 145.784 -2140.58 316.757 5.2404e+06 1.2642e+06 3.61948e+13 1.51326e+13 0.48573 0.0718402 0.274109 0.0463324 0.366208 0.0756995 0.166834 0.0578444 0.572286 0.0746175 7.0449 1.6235 10.7255 2.54147 30.2466 17.0427 48.017 21.1973 48.017 21.1973 0.0950368 0.0393298 
600 0.28 216000000 174.091 137.268 -2235.2 316.757 5.68411e+06 1.2642e+06 4.22169e+13 1.51326e+13 0.503731 0.0718402 0.285196 0.0463324 0.389676 0.0756995 0.187106 0.0578444 0.592093 0.0746175 6.84535 1.55373 10.3465 2.46541 28.1826 16.4395 45.3745 20.4424 45.3745 20.4424 0.0878071 0.0393298 
600 0.28 223200000 162 122.296 -2311.2 306.489 6.03583e+06 1.2795e+06 4.68743e+13 1.59395e+13 0.518387 0.0668786 0.295158 0.0431276 0.409344 0.0743641 0.204137 0.0590186 0.608669 0.0704954 6.70401 1.37081 9.94934 2.1771 26.5674 14.3997 43.2207 17.9337 43.2207 17.9337 0.0830984 0.0345392 
600 0.28 230400000 154.077 116.015 -2380.24 306.489 6.36355e+06 1.2795e+06 5.14232e+13 1.59395e+13 0.530718 0.0668786 0.303621 0.0431276 0.425916 0.0743641 0.218462 0.0590186 0.622651 0.0704954 6.55044 1.33165 9.67772 2.17325 25.1343 14.1053 41.3624 17.589 41.3624 17.589 0.0783636 0.0345392 
600 0.28 237600000 146.143 105.341 -2444.16 290.114 6.67515e+06 1.24624e+06 5.59677e+13 1.6048e+13 0.541672 0.0612441 0.311738 0.0400266 0.441355 0.0702937 0.232303 0.0569128 0.63541 0.0653 6.43016 1.18861 9.35964 1.94114 23.9864 12.4578 39.7762 15.5362 39.7762 15.5362 0.0759297 0.0303399 
600 0.28 244800000 138.333 100.52 -2499.8 290.114 6.94686e+06 1.24624e+06 5.99418e+13 1.6048e+13 0.551932 0.0612441 0.317546 0.0400266 0.454792 0.0702937 0.244371 0.0569128 0.646504 0.0653 6.33304 1.16923 9.14077 1.94114 22.8826 12.3241 38.3564 15.4098 38.3564 15.4098 0.0717531 0.0303399 
600 0.28 252000000 134.25 92.5292 -2550.07 272.498 7.195e+06 1.19397e+06 6.36445e+13 1.57716e+13 0.561701 0.0567692 0.321611 0.0362206 0.466865 0.0659738 0.25534 0.0542611 0.656408 0.0604192 6.25168 1.04671 8.92046 1.74748 21.9596 10.9828 37.1317 13.7087 37.1317 13.7087 0.0686971 0.0273959 
