L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
400 0.2725 64000000 689 0 -132.793 0 17634 0 3.10956e+08 0 0.029656 0 0.0223504 0 0.00137902 0 1.90169e-06 0 0.0371351 0 8.14004 0 29.3273 0 90.0037 0 127.471 0 127.471 0 0.333321 0 
400 0.2725 67200000 1319 445.477 -134.638 1.30496 18130.9 351.395 3.28977e+08 1.27422e+07 0.0186719 0.00776694 0.00395194 0.0130097 0.000823411 0.000392873 9.86705e-07 6.46993e-07 0.0267499 0.00734345 6.97005 0.827308 31.8972 1.81716 152.617 44.2739 191.484 45.2638 191.484 45.2638 0.46292 0.0916403 
400 0.2725 70400000 1591.67 371.167 -128.095 5.4129 16496.3 1355.08 2.77636e+08 4.27719e+07 0.0206308 0.00541936 -0.00590448 0.0118317 0.000968567 0.000287483 1.18606e-06 4.61021e-07 0.0296602 0.00544184 8.56756 1.41618 28.0372 3.37646 225.093 66.1291 261.698 64.786 261.698 64.786 0.567057 0.1047 
400 0.2725 73600000 1440 307.806 -121.854 6.75986 15031.2 1625.67 2.36507e+08 4.79346e+07 0.0345554 0.0127256 -0.0255692 0.0192034 0.00397071 0.00260885 4.2991e-05 3.62058e-05 0.0507244 0.0186932 7.87589 1.2194 28.5031 2.56428 216.337 50.1731 252.716 49.2081 252.716 49.2081 0.572897 0.0786877 
400 0.2725 76800000 1216.2 317.342 -112.964 9.6159 13223.3 2075.13 1.96386e+08 5.25198e+07 0.0104045 0.02388 -0.02467 0.0153837 0.00475144 0.00220081 4.67939e-05 2.91637e-05 0.0583271 0.016428 9.83537 2.00582 28.8656 2.0769 186.38 48.2604 225.081 46.4833 225.081 46.4833 0.487752 0.098805 
400 0.2725 80000000 1239.67 265.318 -110.796 8.25402 12684.6 1797.83 1.80292e+08 4.61663e+07 0.0139562 0.0201624 -0.0132534 0.0165216 0.00444734 0.00185489 4.04227e-05 2.49893e-05 0.0576226 0.0137051 9.08399 1.80677 29.4725 1.81724 183.446 40.3061 222.002 38.8379 222.002 38.8379 0.496305 0.0827069 
400 0.2725 83200000 1183.29 233.329 -113.034 7.37201 13157.2 1601.9 1.91074e+08 4.08106e+07 0.00103838 0.0210167 0.00637417 0.023038 0.00684887 0.00273336 9.92057e-05 5.84859e-05 0.0702196 0.0165533 9.03023 1.54946 31.5681 2.48808 171.659 36.2306 212.257 34.4906 212.257 34.4906 0.464629 0.076718 
400 0.2725 86400000 1089 222.398 -113.979 6.51073 13330.3 1410.98 1.93623e+08 3.57888e+07 -0.0129683 0.0225797 0.0188462 0.0232908 0.00894179 0.00309079 0.000156379 7.40211e-05 0.0806419 0.0174595 9.01713 1.35584 32.8766 2.49754 155.963 34.9364 197.857 33.0489 197.857 33.0489 0.423101 0.0775581 
400 0.2725 89600000 1216.33 231.285 -107.888 8.15268 12238.1 1622.78 1.73471e+08 3.70542e+07 -0.0075197 0.0207178 0.0132513 0.0213644 0.00820312 0.00283426 0.000139588 6.76741e-05 0.0770031 0.0158942 9.43365 1.26755 33.8321 2.39584 157.543 31.0903 200.808 29.5083 200.808 29.5083 0.422603 0.0689422 
400 0.2725 92800000 1460.4 363.387 -110.038 7.72674 12688.4 1618.6 1.84152e+08 3.99941e+07 -0.00240549 0.0236484 0.00551191 0.0272571 0.00798453 0.00335799 0.00012925 8.47678e-05 0.0770598 0.0179447 9.34102 1.14418 33.7221 2.69839 176.74 35.9493 219.803 34.5182 219.803 34.5182 0.451475 0.0747789 
400 0.2725 96000000 1332.09 363.387 -112.233 7.72674 13171.8 1618.6 1.96883e+08 3.99941e+07 -0.00459559 0.0236484 -0.00218888 0.0272571 0.00789268 0.00335799 0.000121922 8.47678e-05 0.0776464 0.0179447 9.67581 1.08804 33.8103 2.69839 165.966 35.9493 209.452 34.5182 209.452 34.5182 0.42285 0.0747789 
400 0.2725 99200000 1260.67 353.477 -112.543 6.83286 13194.5 1425.75 1.95538e+08 3.49116e+07 -0.00166938 0.0197184 0.002584 0.022871 0.00756544 0.00282436 0.000113072 7.21671e-05 0.0764237 0.0149652 9.35694 1.04305 33.3793 2.27034 157.747 34.6132 200.483 33.7414 200.483 33.7414 0.410914 0.0724866 
400 0.2725 102400000 1288.69 353.477 -110.217 6.83286 12700.6 1425.75 1.84026e+08 3.49116e+07 6.18088e-05 0.0197184 0.00328818 0.022871 0.00702748 0.00282436 0.0001044 7.21671e-05 0.0723846 0.0149652 9.64039 1.00059 34.1088 2.27034 155.828 34.6132 199.577 33.7414 199.577 33.7414 0.404492 0.0724866 
400 0.2725 105600000 1260.14 302.98 -106.784 7.92001 12069.4 1605.75 1.71948e+08 3.70467e+07 0.000690518 0.0170422 -0.000373413 0.019794 0.00669552 0.00255133 9.73473e-05 6.35477e-05 0.070699 0.0138791 10.6906 1.37385 506.5 455.211 925.874 742.495 1443.06 1198.52 1443.06 1198.52 0.396487 0.0635508 
400 0.2725 108800000 1269.67 302.98 -109.662 7.92001 12763.9 1605.75 1.94196e+08 3.70467e+07 -0.00367951 0.0170422 0.0148882 0.0214292 0.010012 0.00367875 0.000303238 0.000203521 0.0818241 0.01487 10.9085 1.3345 478.439 438.029 1170 732.029 1659.35 1150.77 1659.35 1150.77 0.432553 0.0635508 
400 0.2725 112000000 1236.88 266 -112.378 8.68374 13431.5 1896.7 2.16413e+08 5.27331e+07 -0.00691905 0.0165237 0.0150951 0.0225685 0.00959951 0.00351606 0.000285013 0.000191615 0.0803613 0.0151384 12.7083 2.21937 453.889 399.826 2174.11 1323.33 2640.71 1506.3 2640.71 1506.3 0.466672 0.086037 
400 0.2725 115200000 1211.24 266 -113.486 8.68374 13654.2 1896.7 2.2112e+08 5.27331e+07 -0.00165703 0.0165237 0.0213345 0.0225685 0.0102991 0.00351606 0.000295421 0.000184141 0.0842579 0.0151384 12.3759 2.21937 428.152 386.422 2052.58 1323.33 2493.11 1506.3 2493.11 1506.3 0.471048 0.086037 
400 0.2725 118400000 1200.22 238.956 -114.568 7.9902 13877.7 1737.65 2.26197e+08 4.77729e+07 -0.00613847 0.0147061 0.0232706 0.0214908 0.0102788 0.00319033 0.000284491 0.000170922 0.0851141 0.0141829 12.3621 1.99959 409.598 356.639 2116.91 1177.53 2538.87 1342.38 2538.87 1342.38 0.495246 0.0810833 
400 0.2725 121600000 1314.16 238.956 -113.145 7.9902 13550.5 1737.65 2.17382e+08 4.77729e+07 -0.00392074 0.0147061 0.0219301 0.0214908 0.00980629 0.00319033 0.000269607 0.000163682 0.0825326 0.0141829 12.1464 1.99959 399.396 346.015 2834.52 1227.51 3246.06 1392.61 3246.06 1392.61 0.519627 0.0810833 
400 0.2725 124800000 1321 243.679 -117.161 7.60011 14744.2 1766.78 2.76541e+08 6.6701e+07 0.00545348 0.0186283 0.0148766 0.0209169 0.0117105 0.00341807 0.0003708 0.000183251 0.0893479 0.0136518 11.9255 2.4522 380.391 321.647 2705.36 1475.68 3097.68 1739.41 3097.68 1739.41 0.530209 0.0809485 
