L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
200 0.29 16000000 413 0 -88.3828 0 7811.52 0 6.10198e+07 0 -0.156352 0 -0.157311 0 0.0491929 0 0.00241994 0 0.221795 0 7.23738 0 8.48946 0 48.3914 0 64.1183 0 64.1183 0 0.399814 0 
200 0.29 16800000 395 12.7279 -50.512 26.7787 3985.66 2705.29 3.05227e+07 2.15647e+07 -0.123924 0.0229303 -0.0907845 0.0470417 0.0290764 0.0142245 0.00125011 0.000827196 0.158226 0.0449501 7.4123 0.123688 11.3396 2.01535 67.392 13.4354 86.1439 15.5745 86.1439 15.5745 0.444917 0.0318931 
200 0.29 17600000 353 35.327 -61.9851 20.161 5061.54 2006.09 3.76924e+07 1.55227e+07 -0.111985 0.0181306 -0.0578419 0.0413158 0.0219934 0.0111074 0.000853829 0.000639378 0.134974 0.0354742 6.26298 0.942034 10.8917 1.39243 57.8607 11.8655 75.0155 13.7973 75.0155 13.7973 0.421117 0.0288045 
200 0.29 18400000 273.5 73.7712 -79.8513 21.6342 8248.38 3143.36 1.07559e+08 6.16157e+07 -0.158381 0.0424193 -0.0477133 0.0322045 0.0387072 0.0167007 0.0026139 0.00159792 0.17575 0.0442134 5.41745 1.01753 10.5416 1.08746 46.3686 13.3509 62.3276 15.0936 62.3276 15.0936 0.34358 0.0705391 
200 0.29 19200000 393.4 122.408 -74.665 17.9182 7180.18 2690.07 8.77374e+07 5.23838e+07 -0.0931559 0.0674914 -0.0494423 0.0258099 0.0372288 0.0134258 0.00228725 0.0013113 0.175992 0.0353714 5.91805 0.929044 27.4437 15.1428 224.389 159.584 257.751 175.208 257.751 175.208 0.420895 0.0892557 
200 0.29 20000000 420 104.857 -74.8 14.9324 6932.89 2253.06 7.85227e+07 4.44562e+07 -0.0613908 0.063278 -0.0370697 0.0242935 0.0327087 0.0119248 0.00192307 0.0011422 0.163416 0.0316327 6.0405 0.782231 24.1011 12.9827 204.228 134.254 234.369 147.559 234.37 147.559 0.463009 0.0837278 
200 0.29 20800000 392.714 93.3603 -72.6206 12.9572 6448.98 1982.48 6.9101e+07 3.9091e+07 -0.054726 0.0545881 -0.0156083 0.0287818 0.0298964 0.0105477 0.00167257 0.00100612 0.156373 0.0278867 7.66136 1.6436 25.4552 11.1984 234.904 118.528 268.021 130.26 268.021 130.26 0.497149 0.0784187 
200 0.29 21600000 395 81.7183 -74.8493 11.5276 6665.51 1746.46 6.88298e+07 3.42055e+07 -0.0616337 0.0481997 -0.0284022 0.027883 0.0294108 0.00924041 0.00154808 0.000888026 0.156987 0.0244076 7.47589 1.44858 23.569 9.95617 209.925 106.311 240.97 116.752 240.97 116.752 0.469326 0.0733865 
200 0.29 22400000 457 93.2375 -71.3477 10.7655 6133.55 1631.41 6.15739e+07 3.1165e+07 -0.0590542 0.0429131 -0.0249463 0.0249982 0.0263077 0.00871917 0.00137631 0.000805797 0.143823 0.0249947 7.52296 1.28839 24.4774 8.89127 195.906 95.4189 227.906 104.508 227.906 104.508 0.450113 0.0677005 
200 0.29 23200000 503.8 126.893 -70.8661 9.6997 5962.85 1516.01 5.73759e+07 2.87602e+07 -0.0463091 0.0504044 -0.0270464 0.0225864 0.0243559 0.00806276 0.00124329 0.000736115 0.137681 0.0232378 7.56951 1.18638 30.6414 9.91108 689.056 475.66 727.267 482.982 727.267 482.982 0.499785 0.0770265 
