L J E r2
7 0 -0.000279679 12.5744
7 0.25 -0.831526 12.5159
7 0.5 -1.66136 12.3109
7 0.75 -2.47747 11.9382
7 1 -3.26906 11.3229
7 1.25 -3.98415 10.5561
7 1.5 -4.61876 9.6694
7 0 2.43585e-05 12.5744
7 0.25 -0.831925 12.5132
7 0.5 -1.65953 12.3193
7 0.75 -2.47502 11.9397
7 1 -3.25578 11.3572
7 1.25 -3.98307 10.5547
7 1.5 -4.63677 9.63795
7 0 4.9215e-05 12.5744
7 0.25 -0.831122 12.5142
7 0.5 -1.6614 12.3155
7 0.75 -2.47344 11.9352
7 1 -3.26394 11.3285
7 1.25 -3.9818 10.5467
7 1.5 -4.62867 9.63843
7 0 -0.00111808 12.5744
7 0.25 -0.830556 12.514
7 0.5 -1.66012 12.3168
7 0.75 -2.47509 11.936
7 1 -3.25762 11.345
7 1.25 -3.99034 10.5246
7 1.5 -4.62777 9.62302
7 0 6.92066e-05 12.5744
7 0.25 -0.832251 12.5143
7 0.5 -1.65927 12.3188
7 0.75 -2.47615 11.933
7 1 -3.26742 11.3367
7 1.25 -3.9981 10.5223
7 1.5 -4.63817 9.59578
7 0 -0.0010687 12.5744
7 0.25 -0.831709 12.5149
7 0.5 -1.66083 12.3131
7 0.75 -2.47299 11.944
7 1 -3.26214 11.3396
7 1.25 -3.99576 10.5372
7 1.5 -4.62535 9.64261
7 0 -0.00111927 12.5744
7 0.25 -0.831723 12.516
7 0.5 -1.65851 12.317
7 0.75 -2.47372 11.9348
7 1 -3.26231 11.3514
7 1.25 -3.98872 10.5497
7 1.5 -4.61178 9.65939
7 0 0.000206217 12.5744
7 0.25 -0.831326 12.5146
7 0.5 -1.66098 12.3204
7 0.75 -2.4773 11.9386
7 1 -3.25694 11.3574
7 1.25 -3.99351 10.5381
7 1.5 -4.63426 9.6171
7 0 -0.00075062 12.5744
7 0.25 -0.83154 12.5157
7 0.5 -1.65732 12.3177
7 0.75 -2.47482 11.9386
7 1 -3.25748 11.351
7 1.25 -3.98095 10.552
7 1.5 -4.63302 9.5968
7 0 0.000133189 12.5744
7 0.25 -0.831626 12.5146
7 0.5 -1.65984 12.3175
7 0.75 -2.47552 11.938
7 1 -3.26532 11.3377
7 1.25 -3.98506 10.5622
7 1.5 -4.6486 9.59796
