L J E r2
5 0 -0.000606193 7.04
5 0.25 -0.540585 7.02043
5 0.5 -1.06921 6.94938
5 0.75 -1.58444 6.81134
5 1 -2.04463 6.6233
5 1.25 -2.48851 6.32839
5 1.5 -2.83413 6.03765
5 0 -0.000625522 7.04
5 0.25 -0.537171 7.01997
5 0.5 -1.07124 6.95116
5 0.75 -1.57659 6.82567
5 1 -2.05036 6.60987
5 1.25 -2.48192 6.35105
5 1.5 -2.84423 6.01623
5 0 -0.00027202 7.04
5 0.25 -0.539011 7.01723
5 0.5 -1.06922 6.94999
5 0.75 -1.58014 6.81718
5 1 -2.04911 6.62723
5 1.25 -2.47644 6.3347
5 1.5 -2.85063 6.01044
5 0 -0.00069079 7.04
5 0.25 -0.539154 7.01982
5 0.5 -1.06939 6.9476
5 0.75 -1.57909 6.82419
5 1 -2.05508 6.60029
5 1.25 -2.4719 6.34914
5 1.5 -2.84104 6.02593
5 0 -0.00261701 7.04
5 0.25 -0.537039 7.02031
5 0.5 -1.07008 6.95321
5 0.75 -1.58 6.8171
5 1 -2.05585 6.61126
5 1.25 -2.4832 6.3306
5 1.5 -2.84269 6.03098
5 0 -0.00132483 7.04
5 0.25 -0.539756 7.01964
5 0.5 -1.07327 6.95245
5 0.75 -1.58124 6.82175
5 1 -2.04626 6.61215
5 1.25 -2.48361 6.33127
5 1.5 -2.84711 6.03193
5 0 0.00154493 7.04
5 0.25 -0.537082 7.01641
5 0.5 -1.066 6.95761
5 0.75 -1.57578 6.82414
5 1 -2.05185 6.6117
5 1.25 -2.4816 6.34155
5 1.5 -2.83463 6.03173
5 0 0.00353395 7.04
5 0.25 -0.539117 7.01921
5 0.5 -1.07055 6.94527
5 0.75 -1.57805 6.82368
5 1 -2.05828 6.60172
5 1.25 -2.4779 6.34408
5 1.5 -2.84886 6.00366
5 0 -0.0014257 7.04
5 0.25 -0.541826 7.01857
5 0.5 -1.06921 6.94636
5 0.75 -1.57349 6.82526
5 1 -2.06268 6.61085
5 1.25 -2.47608 6.32705
5 1.5 -2.85544 5.99356
5 0 -0.000900023 7.04
5 0.25 -0.537811 7.01844
5 0.5 -1.07044 6.95211
5 0.75 -1.58488 6.80881
5 1 -2.05276 6.6205
5 1.25 -2.48026 6.33574
5 1.5 -2.85209 6.0031
