L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
6 1.5 360000 5.62946 0.15183 -5.96698 0.0612606 38.2068 0.774059 1773.84 69.1789 -0.0152993 0.0390006 0.00343827 0.0365981 0.738785 0.00864886 0.582141 0.0113817 
6 1.5 720000 5.5625 0.101183 -5.97167 0.0403403 38.2337 0.502357 1766.97 45.068 0.0061084 0.0311269 -0.0127447 0.0228137 0.742044 0.00561432 0.585112 0.00685927 
6 1.5 1080000 5.51705 0.0785669 -5.96184 0.0308801 38.1125 0.366499 1753.02 31.3782 -0.0123203 0.0232096 -0.0212714 0.0182724 0.740075 0.00379586 0.581805 0.0047556 
6 1.5 1440000 5.53438 0.0672889 -5.93202 0.0293594 37.7833 0.322501 1729.83 26.2586 -0.000966508 0.0180514 -0.0231493 0.0154039 0.736882 0.00342296 0.577572 0.00449379 
6 1.5 1800000 5.55921 0.0598366 -5.93628 0.0268393 37.8213 0.296151 1734.21 23.0793 0.00785297 0.0153457 -0.0102327 0.0134456 0.737399 0.0031346 0.577949 0.00402263 
6 1.5 2160000 5.5625 0.0550102 -5.94126 0.0242861 37.8689 0.264493 1736.99 20.0903 0.0116248 0.0131973 -0.00214523 0.015315 0.738173 0.00279824 0.578898 0.003595 
6 1.5 2520000 5.52885 0.0502488 -5.94341 0.0216163 37.8841 0.235166 1737.92 17.9233 0.00952829 0.0123298 -0.0024141 0.0131889 0.738283 0.00251162 0.578603 0.00321704 
6 1.5 2880000 5.57083 0.049464 -5.93354 0.0199788 37.7618 0.222151 1729.06 17.1879 0.0082195 0.0112596 -0.0025559 0.0116238 0.737909 0.00221935 0.578082 0.00284491 
6 1.5 3240000 5.58134 0.0454405 -5.9449 0.018493 37.8903 0.206904 1740.05 16.2332 0.00978822 0.0105333 -0.00636398 0.0123714 0.738867 0.00204143 0.57936 0.00262798 
6 1.5 3600000 5.57566 0.0432343 -5.95115 0.0179695 37.9751 0.202868 1747.37 16.1536 0.0091364 0.00993024 -0.0102334 0.0110931 0.739631 0.00196539 0.58056 0.00252908 
6 1.5 3960000 5.58984 0.0415397 -5.94674 0.0166744 37.933 0.187226 1745.52 14.8018 0.0117393 0.00952062 -0.0109647 0.010717 0.739446 0.00186488 0.580511 0.00264127 
6 1.5 4320000 5.57955 0.0398685 -5.95311 0.0159989 37.9967 0.176618 1749.41 14.4147 0.00934173 0.00910851 -0.00970046 0.010717 0.740333 0.0018387 0.581621 0.00264127 
6 1.5 4680000 5.56934 0.0378893 -5.95442 0.0153269 38.0108 0.168878 1750.24 13.1416 0.00873447 0.00889816 -0.0126111 0.00905643 0.740661 0.00188033 0.582069 0.00262054 
6 1.5 5040000 5.56641 0.0362357 -5.95175 0.014712 37.9907 0.163398 1749.37 12.7614 0.00578666 0.00860136 -0.0126017 0.00905643 0.740168 0.00188033 0.58163 0.00262054 
6 1.5 5400000 5.58538 0.0357499 -5.94759 0.014109 37.9498 0.151709 1746.52 11.7549 0.00134911 0.00856674 -0.0115356 0.00782626 0.739981 0.00173034 0.581514 0.0023042 
6 1.5 5760000 5.5875 0.0341269 -5.94216 0.014109 37.9093 0.150989 1745.25 11.4673 -0.000953157 0.00828375 -0.0114231 0.00782626 0.739132 0.00173034 0.580856 0.0023042 
6 1.5 6120000 5.60181 0.0339846 -5.9391 0.0146758 37.8886 0.14399 1744.29 10.6655 -0.00130784 0.00787297 -0.0158284 0.0079576 0.738719 0.00191965 0.580335 0.00229808 
6 1.5 6480000 5.60317 0.0327541 -5.94039 0.0146758 37.8992 0.14399 1744.11 10.2478 -0.00114156 0.00766254 -0.0153551 0.00793847 0.739089 0.00191965 0.580728 0.00229808 
6 1.5 6840000 5.58854 0.0334103 -5.94356 0.013706 37.9368 0.135822 1747.8 10.0722 -0.000807915 0.00754324 -0.014776 0.00712584 0.739369 0.00181315 0.581023 0.00214332 
6 1.5 7200000 5.58614 0.0317378 -5.94373 0.013706 37.9446 0.135822 1748.82 9.92864 0.000951344 0.00725756 -0.014022 0.00712584 0.739288 0.00181315 0.580939 0.00214332 
6 1.5 7560000 5.57246 0.0362065 -5.95176 0.0168269 38.0378 0.176217 1756.24 13.3139 0.00334693 0.00863454 -0.0163137 0.0069007 0.739973 0.0020477 0.581904 0.00239157 
6 1.5 7920000 5.57246 0.0362065 -5.95176 0.0168269 38.0378 0.176217 1756.24 13.3139 0.00334693 0.00863454 -0.0163137 0.00685539 0.739973 0.0020477 0.581904 0.00239157 
6 1.5 8280000 5.56605 0.0362065 -5.95578 0.0168269 38.0781 0.176217 1759.03 13.3139 0.0027602 0.00863454 -0.0154257 0.00668129 0.740263 0.0020477 0.582296 0.00239157 
6 1.5 8640000 5.56605 0.0362065 -5.95578 0.0168269 38.0781 0.176217 1759.03 13.3139 0.0027602 0.00863454 -0.0154257 0.00647115 0.740263 0.0020477 0.582296 0.00239157 
6 1.5 9000000 5.56576 0.0307868 -5.95893 0.0154756 38.109 0.160583 1761.92 12.2455 0.00410427 0.00722859 -0.0151965 0.00635703 0.740192 0.00171817 0.582218 0.00201344 
6 1.5 9360000 5.56576 0.0307868 -5.95893 0.0154756 38.109 0.160583 1761.92 12.2455 0.00410427 0.00722859 -0.0151965 0.00623223 0.740192 0.00171817 0.582218 0.00201344 
6 1.5 9720000 5.56731 0.0307868 -5.96101 0.0154756 38.1358 0.160583 1764.15 12.2455 0.00418496 0.00722859 -0.0135009 0.00629162 0.740317 0.00171817 0.582518 0.00201344 
6 1.5 10080000 5.56731 0.0307868 -5.96101 0.0154756 38.1358 0.160583 1764.15 12.2455 0.00418496 0.00722859 -0.0135009 0.00688472 0.740317 0.00171817 0.582518 0.00201344 
6 1.5 10440000 5.55399 0.0285484 -5.96003 0.0133038 38.1194 0.137978 1762.3 10.5022 0.00453595 0.00620881 -0.00935422 0.00668683 0.740372 0.0014821 0.582491 0.00174421 
6 1.5 10800000 5.55399 0.0285484 -5.96003 0.0133038 38.1194 0.137978 1762.3 10.5022 0.00453595 0.00620881 -0.00935422 0.00660079 0.740372 0.0014821 0.582491 0.00174421 
6 1.5 11160000 5.55482 0.0285484 -5.96007 0.0133038 38.1259 0.137978 1763.44 10.5022 0.00604554 0.00620881 -0.00934326 0.00660079 0.74007 0.0014821 0.582282 0.00174421 
6 1.5 11520000 5.55482 0.0285484 -5.96007 0.0133038 38.1259 0.137978 1763.44 10.5022 0.00604554 0.00620881 -0.00934326 0.00660079 0.74007 0.0014821 0.582282 0.00174421 
6 1.5 11880000 5.55359 0.0249827 -5.95652 0.0120959 38.095 0.122857 1761.77 9.2028 0.0033033 0.00561114 -0.00809216 0.00602824 0.739621 0.00147493 0.581779 0.00166489 
6 1.5 12240000 5.55359 0.0249827 -5.95652 0.0120959 38.095 0.122857 1761.77 9.2028 0.0033033 0.0055595 -0.00809216 0.00589511 0.739621 0.00147493 0.581779 0.00166489 
6 1.5 12600000 5.55802 0.0249827 -5.95494 0.0120959 38.0806 0.122857 1760.78 9.2028 0.00568454 0.00571975 -0.00911972 0.00589511 0.739625 0.00147493 0.581724 0.00166489 
6 1.5 12960000 5.55802 0.0249827 -5.95494 0.0120959 38.0806 0.122857 1760.78 9.2028 0.00568454 0.00571975 -0.00911972 0.00589511 0.739625 0.00147493 0.581724 0.00166489 
6 1.5 13320000 5.5549 0.0233676 -5.95602 0.0107623 38.0985 0.109256 1762.86 8.24401 0.00569648 0.00542783 -0.0114482 0.00612128 0.739351 0.00133562 0.581466 0.00150908 
6 1.5 13680000 5.5549 0.0229012 -5.95602 0.0107623 38.0985 0.109256 1762.86 8.24401 0.00569648 0.00542783 -0.0114482 0.00612128 0.739351 0.00133562 0.581466 0.00150908 
6 1.5 14040000 5.5549 0.0228423 -5.95602 0.0107623 38.0985 0.109256 1762.86 8.24401 0.00569648 0.00542783 -0.0114482 0.00612128 0.739351 0.00133562 0.581466 0.00150908 
6 1.5 14400000 5.55674 0.022462 -5.95847 0.0107623 38.1132 0.109256 1762.48 8.24401 0.00448932 0.00542783 -0.0102107 0.00612128 0.739663 0.00133562 0.581778 0.00150908 
